Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20240308,ADBE,0.387251,Bullish,Technology,1.0,551.6900024414062
20240226,ADBE,0.387251,Bullish,Technology,1.0,560.47998046875
20240207,ADBE,0.387251,Bullish,Technology,1.0,615.8499755859375
20240314,ADBE,-0.056233,Neutral,Earnings,0.158519,570.4500122070312
20240614,ADBE,0.321817,Somewhat-Bullish,Earnings,0.99246,525.3099975585938
20241106,ADBE,0.384695,Bullish,Technology,1.0,504.8299865722656
20241010,ADBE,0.384695,Bullish,Technology,1.0,503.5700073242188
20240923,ADBE,0.384695,Bullish,Technology,1.0,527.8699951171875
20240820,ADBE,0.384695,Bullish,Technology,1.0,562.25
20240806,ADBE,0.384695,Bullish,Technology,1.0,514.2000122070312
20240719,ADBE,0.384695,Bullish,Technology,1.0,551.0
20240703,ADBE,0.384695,Bullish,Technology,1.0,570.1500244140625
20240620,ADBE,0.384695,Bullish,Technology,1.0,522.9500122070312
20240605,ADBE,0.384695,Bullish,Technology,1.0,455.7999877929688
20240515,ADBE,0.384695,Bullish,Technology,1.0,485.3500061035156
20240501,ADBE,0.384695,Bullish,Technology,1.0,469.3900146484375
20240418,ADBE,0.384695,Bullish,Technology,1.0,473.1799926757813
20240329,ADBE,0.384695,Bullish,Technology,1.0,458.1300048828125
20240606,ADBE,0.118323,Neutral,Financial Markets,0.998356,458.1300048828125
20240617,ADBE,0.229442,Somewhat-Bullish,Technology,1.0,518.739990234375
20240315,ADBE,0.0,Neutral,Financial Markets,0.108179,492.4599914550781
20240914,ADBE,0.453393,Bullish,Earnings,0.310843,458.739990234375
20240613,ADBE,0.291834,Somewhat-Bullish,Earnings,0.998311,458.739990234375
20240917,ADBE,0.601564,Bullish,Earnings,1.0,515.030029296875
20240315,ADBE,0.016949,Neutral,Financial Markets,0.995077,492.4599914550781
20240618,ADBE,0.614493,Bullish,Earnings,0.986564,522.25
20240423,ADBE,0.509164,Bullish,Technology,1.0,472.8999938964844
20240124,ADBE,0.40773,Bullish,Financial Markets,0.989041,606.47998046875
20241028,ADBE,0.479608,Bullish,Life Sciences,0.2,481.0400085449219
20240313,ADBE,0.465835,Bullish,Retail & Wholesale,0.333333,573.5499877929688
20240625,ADBE,0.50914,Bullish,Earnings,0.682689,526.8800048828125
20240220,ADBE,0.211545,Somewhat-Bullish,Financial Markets,0.962106,541.9099731445312
20240313,ADBE,0.477358,Bullish,Financial Markets,0.87644,573.5499877929688
20240326,ADBE,0.225453,Somewhat-Bullish,Technology,1.0,507.6000061035156
20240131,ADBE,0.495211,Bullish,Technology,0.5,617.780029296875
20240612,ADBE,0.036807,Neutral,Earnings,0.108179,459.8699951171875
20240314,ADBE,0.359022,Bullish,Earnings,0.95493,570.4500122070312
20240625,ADBE,0.438174,Bullish,Financial Markets,0.316726,526.8800048828125
20240317,ADBE,0.460044,Bullish,Earnings,0.999691,484.2799987792969
20240929,ADBE,0.129399,Neutral,Technology,1.0,484.2799987792969
20240408,ADBE,0.464455,Bullish,Earnings,0.795202,484.2799987792969
20240410,ADBE,0.270257,Somewhat-Bullish,Earnings,0.905476,487.2200012207031
20240604,ADBE,0.497375,Bullish,Earnings,0.495866,448.3699951171875
20240703,ADBE,0.575888,Bullish,Earnings,0.890401,570.1500244140625
20240327,ADBE,0.454348,Bullish,Earnings,0.360215,504.3999938964844
20240913,ADBE,0.110514,Neutral,Earnings,0.795202,536.8699951171875
20240628,ADBE,0.334253,Somewhat-Bullish,Financial Markets,0.365926,555.5399780273438
20240313,ADBE,0.426788,Bullish,Earnings,0.360215,573.5499877929688
20240709,ADBE,0.287473,Somewhat-Bullish,Financial Markets,0.316726,566.02001953125
20240306,ADBE,0.296602,Somewhat-Bullish,Earnings,0.938793,543.0900268554688
20240618,ADBE,0.368971,Bullish,Financial Markets,0.365926,522.25
20241030,ADBE,0.367357,Bullish,Financial Markets,0.99793,486.6799926757813
20241015,ADBE,0.538238,Bullish,Financial Markets,0.87644,508.0299987792969
20241122,ADBE,0.477329,Bullish,Life Sciences,0.2,512.1500244140625
20240916,ADBE,0.207572,Somewhat-Bullish,Earnings,0.972756,521.5
20241007,ADBE,0.318571,Somewhat-Bullish,Financial Markets,0.990999,487.2999877929688
20241121,ADBE,0.541739,Bullish,Life Sciences,0.2,504.4400024414063
20240614,ADBE,0.572713,Bullish,Earnings,0.94762,525.3099975585938
20240911,ADBE,0.428143,Bullish,Financial Markets,0.266143,580.3800048828125
20240611,ADBE,0.536171,Bullish,Financial Markets,0.108179,462.6900024414063
20240611,ADBE,0.541149,Bullish,Financial Markets,0.161647,462.6900024414063
20240705,ADBE,0.443455,Bullish,Earnings,0.983783,578.3400268554688
20240322,ADBE,0.336494,Somewhat-Bullish,Earnings,0.360215,499.5199890136719
20240528,ADBE,0.443666,Bullish,Financial Markets,1.0,478.4299926757813
20240823,ADBE,0.44596,Bullish,Earnings,0.360215,558.2999877929688
20240410,ADBE,0.431276,Bullish,Earnings,0.495866,487.2200012207031
20240318,ADBE,0.344426,Somewhat-Bullish,Financial Markets,0.365926,513.8599853515625
20240522,ADBE,0.336444,Somewhat-Bullish,Earnings,0.360215,483.9299926757813
20240614,ADBE,0.186117,Somewhat-Bullish,Earnings,0.998311,525.3099975585938
20240522,ADBE,0.458309,Bullish,Technology,1.0,483.9299926757813
20240814,ADBE,0.403551,Bullish,Financial Markets,0.214378,539.7899780273438
20240530,ADBE,0.38604,Bullish,Earnings,0.360215,445.8699951171875
20240610,ADBE,0.375746,Bullish,Earnings,0.360215,459.9400024414063
20240618,ADBE,0.241624,Somewhat-Bullish,Earnings,0.310843,522.25
20240412,ADBE,0.382945,Bullish,Financial Markets,0.980922,474.0899963378906
20240917,ADBE,0.511281,Bullish,Earnings,1.0,515.030029296875
20240924,ADBE,0.286157,Somewhat-Bullish,Financial Markets,0.929393,524.0700073242188
20240911,ADBE,0.428261,Bullish,Financial Markets,0.413559,580.3800048828125
20240911,ADBE,0.415368,Bullish,Earnings,0.576289,580.3800048828125
20240611,ADBE,0.53525,Bullish,Financial Markets,0.108179,462.6900024414063
20240912,ADBE,0.383649,Bullish,Earnings,0.99676,586.5499877929688
20240312,ADBE,0.411923,Bullish,Earnings,0.96136,579.1400146484375
20240430,ADBE,0.427362,Bullish,Earnings,0.360215,462.8299865722656
20240531,ADBE,0.492928,Bullish,Earnings,0.360215,444.760009765625
20240911,ADBE,0.651827,Bullish,Technology,1.0,580.3800048828125
20240214,ADBE,0.307775,Somewhat-Bullish,Financial Markets,0.360215,604.6599731445312
20240122,ADBE,0.365488,Bullish,Earnings,0.360215,603.5900268554688
20240311,ADBE,0.350928,Bullish,Life Sciences,0.333333,560.4199829101562
20240903,ADBE,0.432738,Bullish,Earnings,0.360215,571.0399780273438
20240523,ADBE,0.510327,Bullish,Earnings,0.838487,483.30999755859375
20240618,ADBE,0.407163,Bullish,Financial Markets,0.99977,522.25
20240523,ADBE,0.51477,Bullish,Earnings,0.838487,483.30999755859375
20240726,ADBE,0.332546,Somewhat-Bullish,Earnings,0.495866,542.4400024414062
20240920,ADBE,0.223404,Somewhat-Bullish,Earnings,0.95493,522.2999877929688
20240408,ADBE,0.469299,Bullish,Financial Markets,0.316726,484.2799987792969
20240702,ADBE,0.390603,Bullish,Earnings,0.360215,567.7100219726562
20240614,ADBE,0.472428,Bullish,Financial Markets,0.989041,525.3099975585938
20241118,ADBE,0.443709,Bullish,Earnings,0.360215,499.510009765625
20240910,ADBE,0.411717,Bullish,Earnings,0.999813,574.47998046875
20240328,ADBE,0.482729,Bullish,Earnings,0.360215,504.6000061035156
20240819,ADBE,0.478654,Bullish,Earnings,0.360215,563.1199951171875
20240212,ADBE,0.365921,Bullish,Earnings,0.495866,611.8400268554688
20241009,ADBE,0.411782,Bullish,Financial Markets,0.980922,494.0799865722656
20240617,ADBE,0.165307,Somewhat-Bullish,Financial Markets,0.918141,518.739990234375
20241204,ADBE,0.472405,Bullish,Earnings,0.360215,536.489990234375
20240715,ADBE,0.401787,Bullish,Earnings,0.360215,565.7100219726562
20240703,ADBE,0.357073,Bullish,Earnings,0.988787,570.1500244140625
