Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20241126,AMZN,0.405711,Bullish,Retail & Wholesale,1.0,207.8600006103516
20241021,AMZN,0.0,Neutral,Retail & Wholesale,1.0,189.07000732421875
20241203,AMZN,0.529668,Bullish,Retail & Wholesale,0.5,213.44000244140625
20241111,AMZN,0.746412,Bullish,Retail & Wholesale,1.0,206.83999633789065
20241024,AMZN,0.560547,Bullish,Energy & Transportation,0.5,186.3800048828125
20241101,AMZN,0.536329,Bullish,Earnings,0.310843,197.92999267578125
20241113,AMZN,0.336795,Somewhat-Bullish,Earnings,0.451494,214.1000061035156
20241202,AMZN,0.533262,Bullish,Retail & Wholesale,0.333333,210.7100067138672
20241030,AMZN,-0.204081,Somewhat-Bearish,Economy - Fiscal,0.158519,192.72999572753903
20241113,AMZN,0.457392,Bullish,Retail & Wholesale,1.0,214.1000061035156
20241113,AMZN,-0.521824,Bearish,Retail & Wholesale,0.5,214.1000061035156
20241023,AMZN,0.1364,Neutral,Retail & Wholesale,1.0,184.7100067138672
20241120,AMZN,0.303323,Somewhat-Bullish,Earnings,0.495866,202.8800048828125
20241204,AMZN,0.283511,Somewhat-Bullish,Retail & Wholesale,0.5,218.16000366210935
20241126,AMZN,0.260929,Somewhat-Bullish,Real Estate & Construction,0.5,207.8600006103516
20241116,AMZN,0.218792,Somewhat-Bullish,Retail & Wholesale,1.0,197.92999267578125
20241101,AMZN,0.387647,Bullish,Earnings,0.795202,197.92999267578125
20241022,AMZN,0.699121,Bullish,Retail & Wholesale,0.5,189.6999969482422
20241122,AMZN,0.145747,Neutral,Retail & Wholesale,0.5,197.1199951171875
20241114,AMZN,0.479376,Bullish,Retail & Wholesale,1.0,211.47999572753903
20241021,AMZN,0.327798,Somewhat-Bullish,Retail & Wholesale,0.25,189.07000732421875
20241117,AMZN,0.486816,Bullish,Retail & Wholesale,1.0,205.7400054931641
20241127,AMZN,0.640939,Bullish,Earnings,0.310843,205.7400054931641
20241023,AMZN,0.246379,Somewhat-Bullish,Retail & Wholesale,0.25,184.7100067138672
20241029,AMZN,0.852628,Bullish,Retail & Wholesale,0.5,190.8300018310547
20241122,AMZN,0.53724,Bullish,Economy - Monetary,0.158519,197.1199951171875
