Ticker,Sentiment Score,Sentiment Label,Published Date,Topic,Relevance Score
AMZN,0.405711,Bullish,20241126T170232,Retail & Wholesale,1.0
AMZN,0.0,Neutral,20241021T141744,Retail & Wholesale,1.0
AMZN,0.529668,Bullish,20241203T203808,Retail & Wholesale,0.5
AMZN,0.746412,Bullish,20241111T123000,Retail & Wholesale,1.0
AMZN,0.560547,Bullish,20241024T184107,Energy & Transportation,0.5
AMZN,0.536329,Bullish,20241101T115835,Earnings,0.310843
AMZN,0.336795,Somewhat-Bullish,20241113T202813,Earnings,0.451494
AMZN,0.533262,Bullish,20241202T090300,Retail & Wholesale,0.333333
AMZN,-0.204081,Somewhat-Bearish,20241030T101545,Economy - Fiscal,0.158519
AMZN,0.457392,Bullish,20241113T175859,Retail & Wholesale,1.0
AMZN,-0.521824,Bearish,20241113T023156,Retail & Wholesale,0.5
AMZN,0.1364,Neutral,20241023T212200,Retail & Wholesale,1.0
AMZN,0.303323,Somewhat-Bullish,20241120T230600,Earnings,0.495866
AMZN,0.283511,Somewhat-Bullish,20241204T151403,Retail & Wholesale,0.5
AMZN,0.260929,Somewhat-Bullish,20241126T171236,Real Estate & Construction,0.5
AMZN,0.218792,Somewhat-Bullish,20241116T153000,Retail & Wholesale,1.0
AMZN,0.387647,Bullish,20241101T141935,Earnings,0.795202
AMZN,0.699121,Bullish,20241022T164922,Retail & Wholesale,0.5
AMZN,0.145747,Neutral,20241122T050116,Retail & Wholesale,0.5
AMZN,0.479376,Bullish,20241114T083921,Retail & Wholesale,1.0
AMZN,0.327798,Somewhat-Bullish,20241021T085500,Retail & Wholesale,0.25
AMZN,0.486816,Bullish,20241117T210019,Retail & Wholesale,1.0
AMZN,0.640939,Bullish,20241127T143505,Earnings,0.310843
AMZN,0.246379,Somewhat-Bullish,20241023T100700,Retail & Wholesale,0.25
AMZN,0.852628,Bullish,20241029T123000,Retail & Wholesale,0.5
AMZN,0.53724,Bullish,20241122T080000,Economy - Monetary,0.158519
AMZN,0.370961,Bullish,20241028T125500,IPO,0.890401
AMZN,0.52164,Bullish,20241115T090100,Retail & Wholesale,0.5
AMZN,0.519161,Bullish,20241103T142400,Earnings,0.917436
AMZN,0.494298,Bullish,20241114T092500,Retail & Wholesale,0.5
AMZN,0.438732,Bullish,20241121T144012,Retail & Wholesale,0.5
AMZN,0.595475,Bullish,20241106T022536,Earnings,0.158519
AMZN,0.542323,Bullish,20241107T141525,Earnings,0.996718
AMZN,0.455492,Bullish,20241109T161500,Earnings,0.495866
AMZN,0.500198,Bullish,20241205T141506,Retail & Wholesale,0.5
AMZN,0.57047,Bullish,20241022T113000,Earnings,0.839681
AMZN,0.302522,Somewhat-Bullish,20241112T120000,Retail & Wholesale,0.333333
AMZN,0.326588,Somewhat-Bullish,20241026T084700,Earnings,0.360215
AMZN,0.445441,Bullish,20241205T142000,Earnings,0.875462
AMZN,0.24725,Somewhat-Bullish,20241017T084500,Earnings,0.538269
AMZN,-0.576899,Bearish,20241111T130000,Retail & Wholesale,1.0
AMZN,-0.576899,Bearish,20241108T155949,Retail & Wholesale,1.0
