Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20241019,BA,-0.313186,Somewhat-Bearish,Financial Markets,0.77141,150.69000244140625
20241028,BA,0.076959,Neutral,Financial Markets,0.94762,150.69000244140625
20240929,BA,-0.084537,Neutral,Financial Markets,0.158519,156.77000427246094
20240913,BA,0.062787,Neutral,Financial Markets,0.796627,156.77000427246094
20241024,BA,-0.004216,Neutral,Earnings,0.576289,155.1999969482422
20240902,BA,-0.141936,Neutral,Earnings,0.161647,172.10000610351562
20240820,BA,-0.118252,Neutral,Earnings,0.988915,172.10000610351562
20240808,BA,0.041399,Neutral,Financial Markets,0.891286,168.8699951171875
20241021,BA,0.177351,Somewhat-Bullish,Manufacturing,1.0,159.82000732421875
20240928,BA,0.112252,Neutral,Earnings,0.310843,161.02000427246094
20240810,BA,-0.111779,Neutral,Earnings,0.95493,161.02000427246094
20240903,BA,-0.148074,Neutral,Finance,0.5,161.02000427246094
20241011,BA,-0.088089,Neutral,Earnings,0.744043,151.02000427246094
20240912,BA,0.090562,Neutral,Financial Markets,0.623304,162.77000427246094
20241028,BA,0.271725,Somewhat-Bullish,Financial Markets,0.929393,150.69000244140625
20240930,BA,0.172216,Somewhat-Bullish,Energy & Transportation,0.5,152.0399932861328
20241104,BA,-0.012141,Neutral,Earnings,0.310843,155.07000732421875
20240906,BA,0.032331,Neutral,Finance,0.5,157.6199951171875
20241002,BA,0.08149,Neutral,Financial Markets,0.108179,152.88999938964844
20240913,BA,-0.091287,Neutral,Financial Markets,0.94762,156.77000427246094
20241014,BA,-0.22464,Somewhat-Bearish,Financial Markets,0.538269,148.99000549316406
20241110,BA,-0.065708,Neutral,Earnings,0.99237,139.97000122070312
20241113,BA,0.195616,Somewhat-Bullish,Financial Markets,0.891286,139.97000122070312
20240821,BA,-0.254279,Somewhat-Bearish,Financial Markets,0.77141,173.42999267578125
20240923,BA,0.221386,Somewhat-Bullish,Financial Markets,0.161647,156.3000030517578
20240916,BA,0.024396,Neutral,Financial Markets,0.684621,155.5500030517578
20240807,BA,-0.05661,Neutral,Finance,0.5,163.24000549316406
20241023,BA,0.246592,Somewhat-Bullish,Financial Markets,0.266143,157.05999755859375
20241013,BA,-0.222773,Somewhat-Bearish,Earnings,0.158519,155.0
20241203,BA,0.3132,Somewhat-Bullish,Financial Markets,0.962106,155.0
20240814,BA,0.304208,Somewhat-Bullish,Financial Markets,0.316726,168.5
20241112,BA,0.388834,Bullish,Financial Markets,0.108179,145.1699981689453
20240807,BA,0.44593,Bullish,Financial Markets,0.316726,163.24000549316406
20241108,BA,-0.113919,Neutral,Earnings,0.158519,151.67999267578125
20240801,BA,0.174112,Somewhat-Bullish,Financial Markets,0.967645,178.30999755859375
20240812,BA,0.285538,Somewhat-Bullish,Financial Markets,0.316726,164.1300048828125
20241015,BA,0.4354,Bullish,Economy - Monetary,0.158519,152.35000610351562
20241207,BA,0.167897,Somewhat-Bullish,Manufacturing,1.0,160.07000732421875
20240910,BA,0.084765,Neutral,Finance,0.5,160.07000732421875
20240816,BA,-0.123164,Neutral,Financial Markets,0.214378,179.99000549316406
20241009,BA,0.179769,Somewhat-Bullish,Financial Markets,0.316726,149.3699951171875
20240813,BA,0.279624,Somewhat-Bullish,Manufacturing,1.0,168.75999450683594
20241014,BA,0.156865,Somewhat-Bullish,Financial Markets,0.413559,148.99000549316406
20240928,BA,-0.152807,Somewhat-Bearish,Manufacturing,1.0,151.67999267578125
20240901,BA,-0.130769,Neutral,Earnings,0.360215,151.67999267578125
20241108,BA,-0.165765,Somewhat-Bearish,Earnings,0.158519,151.67999267578125
20240828,BA,0.369734,Bullish,Financial Markets,0.316726,170.7100067138672
20240824,BA,-0.15773,Somewhat-Bearish,Manufacturing,1.0,169.9499969482422
20240802,BA,0.314089,Somewhat-Bullish,Earnings,0.158519,169.9499969482422
20241112,BA,0.37623,Bullish,Financial Markets,0.818451,145.1699981689453
20240820,BA,0.156561,Somewhat-Bullish,Earnings,0.538269,172.10000610351562
20240917,BA,-0.272731,Somewhat-Bearish,Life Sciences,0.5,156.38999938964844
20240823,BA,0.37159,Bullish,Financial Markets,0.365926,174.9600067138672
20240820,BA,-0.070765,Neutral,Energy & Transportation,0.5,172.10000610351562
20241204,BA,0.141016,Neutral,Earnings,0.451494,158.27999877929688
20241021,BA,0.586678,Bullish,Finance,0.5,159.82000732421875
20240813,BA,-0.019512,Neutral,Financial Markets,0.839681,168.75999450683594
20241014,BA,-0.141587,Neutral,Financial Markets,0.684621,148.99000549316406
20241015,BA,0.114321,Neutral,Manufacturing,1.0,152.35000610351562
20241009,BA,0.326535,Somewhat-Bullish,Financial Markets,0.108179,149.3699951171875
20240910,BA,-0.075465,Neutral,Life Sciences,0.333333,160.07000732421875
20240813,BA,0.23239,Somewhat-Bullish,Manufacturing,1.0,168.75999450683594
20240805,BA,0.062733,Neutral,Financial Markets,0.967645,167.02999877929688
20241102,BA,0.301218,Somewhat-Bullish,Earnings,0.576289,154.58999633789062
20241101,BA,0.324307,Somewhat-Bullish,Financial Markets,0.796627,154.58999633789062
20241008,BA,-0.279525,Somewhat-Bearish,Energy & Transportation,0.333333,154.64999389648438
20241122,BA,-0.088424,Neutral,Financial Markets,0.108179,149.2899932861328
20241003,BA,0.144558,Neutral,Financial Markets,0.108179,150.52000427246094
20241205,BA,-0.287341,Somewhat-Bearish,Manufacturing,1.0,156.6699981689453
20241105,BA,0.311288,Somewhat-Bullish,Financial Markets,0.316726,151.0
20241011,BA,-0.226644,Somewhat-Bearish,Manufacturing,1.0,151.02000427246094
20240820,BA,-0.057758,Neutral,Earnings,0.158519,172.10000610351562
20241001,BA,-0.027001,Neutral,Energy & Transportation,0.5,154.22000122070312
20241009,BA,-0.007798,Neutral,Finance,0.5,149.3699951171875
20240826,BA,0.053093,Neutral,Manufacturing,1.0,173.47999572753906
20240903,BA,-0.173412,Somewhat-Bearish,Finance,0.5,161.02000427246094
20241031,BA,-0.430222,Bearish,Manufacturing,0.333333,149.30999755859375
20241024,BA,-0.230036,Somewhat-Bearish,Earnings,0.839681,155.1999969482422
20241122,BA,0.034506,Neutral,Earnings,0.310843,149.2899932861328
20241119,BA,0.323098,Somewhat-Bullish,Financial Markets,0.365926,145.60000610351562
20240809,BA,-0.079584,Neutral,Financial Markets,0.161647,167.91000366210938
20240825,BA,0.151319,Somewhat-Bullish,Manufacturing,1.0,156.77000427246094
20240825,BA,0.320655,Somewhat-Bullish,Earnings,0.161647,156.77000427246094
