Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20241125,MRNA,0.384695,Bullish,Life Sciences,1.0,43.65999984741211
20241104,MRNA,0.384695,Bullish,Life Sciences,1.0,53.540000915527344
20241015,MRNA,0.384695,Bullish,Life Sciences,1.0,57.310001373291016
20240924,MRNA,0.384695,Bullish,Life Sciences,1.0,63.93999862670898
20240913,MRNA,0.384695,Bullish,Life Sciences,1.0,68.27999877929688
20240823,MRNA,0.384695,Bullish,Life Sciences,1.0,82.44000244140625
20240805,MRNA,0.384695,Bullish,Life Sciences,1.0,83.75
20240724,MRNA,0.384695,Bullish,Life Sciences,1.0,118.19000244140624
20240704,MRNA,0.384695,Bullish,Life Sciences,1.0,133.39999389648438
20240621,MRNA,0.384695,Bullish,Life Sciences,1.0,133.39999389648438
20240603,MRNA,0.384695,Bullish,Life Sciences,1.0,147.82000732421875
20240513,MRNA,0.384695,Bullish,Life Sciences,1.0,125.66999816894533
20240610,MRNA,0.428597,Bullish,Life Sciences,1.0,148.58999633789062
20240909,MRNA,0.32692,Somewhat-Bullish,Life Sciences,1.0,76.61000061035156
20240507,MRNA,0.370627,Bullish,Life Sciences,1.0,121.06999969482422
20240530,MRNA,-0.303055,Somewhat-Bearish,Life Sciences,1.0,151.49000549316406
20240807,MRNA,0.249545,Somewhat-Bullish,Life Sciences,1.0,81.55000305175781
20241009,MRNA,0.228854,Somewhat-Bullish,Life Sciences,0.5,58.86000061035156
20240620,MRNA,0.378522,Bullish,Life Sciences,1.0,134.39999389648438
20240912,MRNA,0.417333,Bullish,Life Sciences,1.0,69.68000030517578
20240827,MRNA,0.168224,Somewhat-Bullish,Life Sciences,0.5,78.9800033569336
20240610,MRNA,0.254801,Somewhat-Bullish,Life Sciences,1.0,148.58999633789062
20240813,MRNA,0.218402,Somewhat-Bullish,Life Sciences,0.5,82.9000015258789
20240702,MRNA,-0.073494,Neutral,Life Sciences,1.0,117.06999969482422
20240624,MRNA,0.334988,Somewhat-Bullish,Life Sciences,1.0,137.0
20240628,MRNA,0.232636,Somewhat-Bullish,Life Sciences,0.5,118.75
20240801,MRNA,-0.170661,Somewhat-Bearish,Earnings,0.538269,94.16999816894533
20241029,MRNA,0.316999,Somewhat-Bullish,Life Sciences,1.0,55.220001220703125
20241108,MRNA,0.29516,Somewhat-Bullish,Life Sciences,1.0,46.83000183105469
20240709,MRNA,0.375258,Bullish,Life Sciences,0.5,116.06999969482422
20240719,MRNA,0.140753,Neutral,Life Sciences,1.0,121.13999938964844
20241118,MRNA,0.06738,Neutral,Life Sciences,0.5,39.5099983215332
20240523,MRNA,0.351069,Bullish,Life Sciences,1.0,164.00999450683594
20240722,MRNA,0.270224,Somewhat-Bullish,Life Sciences,1.0,122.5
20240517,MRNA,0.293792,Somewhat-Bullish,Life Sciences,1.0,132.89999389648438
20240611,MRNA,0.240595,Somewhat-Bullish,Life Sciences,1.0,148.38999938964844
20241114,MRNA,0.233591,Somewhat-Bullish,Life Sciences,1.0,39.77000045776367
20240821,MRNA,0.312663,Somewhat-Bullish,Life Sciences,1.0,86.6500015258789
20240705,MRNA,0.315833,Somewhat-Bullish,Life Sciences,1.0,118.31999969482422
20240812,MRNA,0.279343,Somewhat-Bullish,Life Sciences,0.5,81.29000091552734
20240917,MRNA,0.546613,Bullish,Life Sciences,1.0,71.98999786376953
20240801,MRNA,0.355294,Bullish,Earnings,0.310843,94.16999816894533
20240510,MRNA,0.239456,Somewhat-Bullish,Life Sciences,1.0,117.30999755859376
20240531,MRNA,0.058917,Neutral,Earnings,0.158519,142.5500030517578
20240904,MRNA,0.237612,Somewhat-Bullish,Life Sciences,1.0,72.48999786376953
20240531,MRNA,0.427226,Bullish,Life Sciences,1.0,142.5500030517578
20240919,MRNA,0.16062,Somewhat-Bullish,Life Sciences,1.0,68.0199966430664
20240910,MRNA,0.377336,Bullish,Life Sciences,1.0,79.27999877929688
20241002,MRNA,0.363691,Bullish,Life Sciences,1.0,63.15999984741211
20240515,MRNA,0.249306,Somewhat-Bullish,Life Sciences,1.0,129.05999755859375
20241115,MRNA,0.240644,Somewhat-Bullish,Life Sciences,1.0,36.84999847412109
20241021,MRNA,0.328298,Somewhat-Bullish,Life Sciences,1.0,53.79999923706055
20241003,MRNA,0.185068,Somewhat-Bullish,Life Sciences,1.0,61.06999969482422
20241107,MRNA,0.382437,Bullish,Life Sciences,0.333333,50.27999877929688
20240510,MRNA,0.275414,Somewhat-Bullish,Life Sciences,1.0,117.30999755859376
20240802,MRNA,0.347102,Somewhat-Bullish,Earnings,0.108179,86.58000183105469
20241129,MRNA,0.239209,Somewhat-Bullish,Life Sciences,1.0,43.060001373291016
20240506,MRNA,0.338333,Somewhat-Bullish,Life Sciences,1.0,122.12999725341795
20241106,MRNA,0.228455,Somewhat-Bullish,Life Sciences,1.0,51.810001373291016
20240607,MRNA,0.384971,Bullish,Life Sciences,1.0,151.00999450683594
20240529,MRNA,0.336812,Somewhat-Bullish,Life Sciences,1.0,147.9199981689453
20241107,MRNA,0.310238,Somewhat-Bullish,Earnings,0.795202,50.27999877929688
20240502,MRNA,-0.026319,Neutral,Earnings,0.360215,125.58999633789062
20240708,MRNA,0.255966,Somewhat-Bullish,Life Sciences,1.0,116.4499969482422
20240518,MRNA,0.355673,Bullish,Earnings,0.360215,65.69000244140625
20240914,MRNA,0.30796,Somewhat-Bullish,Earnings,0.108179,65.69000244140625
20240920,MRNA,0.063234,Neutral,Life Sciences,1.0,65.69000244140625
20240804,MRNA,0.303501,Somewhat-Bullish,Earnings,0.999606,53.400001525878906
20241022,MRNA,0.231618,Somewhat-Bullish,Life Sciences,1.0,53.400001525878906
20240514,MRNA,0.051946,Neutral,Earnings,0.796627,128.32000732421875
20240615,MRNA,0.037395,Neutral,Life Sciences,1.0,151.00999450683594
20240607,MRNA,0.037395,Neutral,Life Sciences,1.0,151.00999450683594
20240802,MRNA,0.196964,Somewhat-Bullish,Life Sciences,0.5,86.58000183105469
20240930,MRNA,0.10058,Neutral,Mergers & Acquisitions,0.108179,66.83000183105469
