Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20240205,CI,0.625641,Bullish,Earnings,0.158519,316.0755615234375
20240714,CI,0.493487,Bullish,Earnings,0.938793,333.36328125
20240612,CI,0.437863,Bullish,Earnings,0.967645,333.36328125
20240604,CI,0.439282,Bullish,Financial Markets,1.0,334.365234375
20240307,CI,0.484698,Bullish,Financial Markets,1.0,338.6059265136719
20240314,CI,0.480017,Bullish,Retail & Wholesale,0.5,345.2942810058594
20240501,CI,0.56312,Bullish,Earnings,0.99237,352.87176513671875
20240715,CI,0.422608,Bullish,Earnings,0.838487,328.77032470703125
20240222,CI,0.243395,Somewhat-Bullish,Earnings,0.310843,336.6278381347656
20240422,CI,0.254048,Somewhat-Bullish,Earnings,0.682689,348.9200134277344
20240117,CI,0.276917,Somewhat-Bullish,Earnings,0.158519,303.4924011230469
20241101,CI,0.353351,Bullish,Life Sciences,0.333333,315.1669311523437
20240611,CI,0.40551,Bullish,Earnings,0.838487,335.2381896972656
20240822,CI,0.240506,Somewhat-Bullish,Earnings,0.451494,343.70001220703125
20241014,CI,0.225649,Somewhat-Bullish,Earnings,0.576289,349.9808349609375
20240626,CI,0.241364,Somewhat-Bullish,Earnings,0.576289,334.88104248046875
20240910,CI,0.225224,Somewhat-Bullish,Earnings,0.769861,356.60302734375
20240311,CI,0.220512,Somewhat-Bullish,Earnings,0.576289,338.1416015625
20240131,CI,0.265407,Somewhat-Bullish,Economy - Monetary,0.158519,296.0841064453125
20240412,CI,0.225264,Somewhat-Bullish,Earnings,0.682689,345.62030029296875
20240202,CI,0.277201,Somewhat-Bullish,Economy - Monetary,0.310843,318.60400390625
20240627,CI,0.379654,Bullish,Earnings,0.682689,331.4784851074219
20240912,CI,0.226021,Somewhat-Bullish,Earnings,0.310843,360.656005859375
20240515,CI,0.264239,Somewhat-Bullish,Earnings,0.682689,339.1394348144531
20240507,CI,0.368853,Bullish,Earnings,0.928139,342.5181579589844
20240731,CI,0.368188,Bullish,Earnings,0.890401,345.8824157714844
20241105,CI,0.206274,Somewhat-Bullish,Earnings,0.682689,317.0590209960937
20240327,CI,0.202575,Somewhat-Bullish,Earnings,0.576289,358.9574584960937
20240527,CI,0.490623,Bullish,Earnings,0.682689,343.5477905273437
20240926,CI,0.198452,Somewhat-Bullish,Earnings,0.838487,343.5477905273437
20240722,CI,0.240746,Somewhat-Bullish,Earnings,0.838487,333.1054077148437
20240823,CI,0.244942,Somewhat-Bullish,Earnings,0.838487,351.1598815917969
20240618,CI,0.241765,Somewhat-Bullish,Earnings,0.838487,332.123291015625
20240807,CI,0.240687,Somewhat-Bullish,Earnings,0.451494,326.37957763671875
20240429,CI,0.187433,Somewhat-Bullish,Earnings,0.838487,352.14068603515625
20240531,CI,0.23438,Somewhat-Bullish,Earnings,0.682689,340.4632568359375
20240502,CI,0.186376,Somewhat-Bullish,Economy - Monetary,0.310843,340.3447265625
