Ticker,Sentiment Score,Sentiment Label,Published Date,Topic,Relevance Score
CI,0.625641,Bullish,20240205T180000,Earnings,0.158519
CI,0.493487,Bullish,20240714T094345,Earnings,0.938793
CI,0.437863,Bullish,20240612T212443,Earnings,0.967645
CI,0.439282,Bullish,20240604T072647,Financial Markets,1.0
CI,0.484698,Bullish,20240307T095646,Financial Markets,1.0
CI,0.480017,Bullish,20240314T062043,Retail & Wholesale,0.5
CI,0.56312,Bullish,20240501T134600,Earnings,0.99237
CI,0.422608,Bullish,20240715T134511,Earnings,0.838487
CI,0.243395,Somewhat-Bullish,20240222T144012,Earnings,0.310843
CI,0.254048,Somewhat-Bullish,20240422T135006,Earnings,0.682689
CI,0.276917,Somewhat-Bullish,20240117T141500,Earnings,0.158519
CI,0.353351,Bullish,20241101T131700,Life Sciences,0.333333
CI,0.40551,Bullish,20240611T134510,Earnings,0.838487
CI,0.240506,Somewhat-Bullish,20240822T135012,Earnings,0.451494
CI,0.225649,Somewhat-Bullish,20241014T134011,Earnings,0.576289
CI,0.241364,Somewhat-Bullish,20240626T135011,Earnings,0.576289
CI,0.225224,Somewhat-Bullish,20240910T134011,Earnings,0.769861
CI,0.220512,Somewhat-Bullish,20240311T134011,Earnings,0.576289
CI,0.265407,Somewhat-Bullish,20240131T130800,Economy - Monetary,0.158519
CI,0.225264,Somewhat-Bullish,20240412T134010,Earnings,0.682689
CI,0.277201,Somewhat-Bullish,20240202T110000,Economy - Monetary,0.310843
CI,0.379654,Bullish,20240627T134513,Earnings,0.682689
CI,0.226021,Somewhat-Bullish,20240912T135011,Earnings,0.310843
CI,0.264239,Somewhat-Bullish,20240515T134012,Earnings,0.682689
CI,0.368853,Bullish,20240507T134511,Earnings,0.928139
CI,0.368188,Bullish,20240731T134513,Earnings,0.890401
CI,0.206274,Somewhat-Bullish,20241105T144012,Earnings,0.682689
CI,0.202575,Somewhat-Bullish,20240327T134011,Earnings,0.576289
CI,0.490623,Bullish,20240527T154800,Earnings,0.682689
CI,0.198452,Somewhat-Bullish,20240926T134012,Earnings,0.838487
CI,0.240746,Somewhat-Bullish,20240722T134010,Earnings,0.838487
CI,0.244942,Somewhat-Bullish,20240823T134011,Earnings,0.838487
CI,0.241765,Somewhat-Bullish,20240618T134011,Earnings,0.838487
CI,0.240687,Somewhat-Bullish,20240807T134011,Earnings,0.451494
CI,0.187433,Somewhat-Bullish,20240429T134011,Earnings,0.838487
CI,0.23438,Somewhat-Bullish,20240531T134010,Earnings,0.682689
CI,0.186376,Somewhat-Bullish,20240502T100000,Economy - Monetary,0.310843
CI,0.32664,Somewhat-Bullish,20240523T134509,Earnings,0.928139
CI,0.187359,Somewhat-Bullish,20240229T145011,Earnings,0.928139
CI,0.219087,Somewhat-Bullish,20240101T144007,Earnings,0.682689
CI,0.088917,Neutral,20240709T201500,Technology,0.5
CI,0.104337,Neutral,20240426T184157,Life Sciences,0.333333
CI,0.297826,Somewhat-Bullish,20240328T123003,Earnings,0.360215
CI,0.038571,Neutral,20240207T134600,Energy & Transportation,0.333333
CI,0.154807,Somewhat-Bullish,20240206T144007,Earnings,0.928139
CI,0.255989,Somewhat-Bullish,20240301T133008,Earnings,0.360215
CI,0.287753,Somewhat-Bullish,20241030T171400,Economy - Monetary,0.158519
CI,0.472649,Bullish,20240320T120300,Economy - Monetary,0.451494
CI,0.136528,Neutral,20241111T132832,Financial Markets,0.266143
CI,-0.082914,Neutral,20241021T061059,Financial Markets,0.316726
CI,0.26626,Somewhat-Bullish,20240912T182400,Earnings,0.928139
CI,0.459825,Bullish,20240618T171804,Life Sciences,0.5
CI,0.407327,Bullish,20240312T142400,Earnings,0.999483
CI,0.299359,Somewhat-Bullish,20240308T161600,Earnings,0.997335
CI,0.208432,Somewhat-Bullish,20240502T163800,Earnings,0.999606
CI,0.204145,Somewhat-Bullish,20241111T184957,Earnings,0.614606
CI,0.276349,Somewhat-Bullish,20240131T120514,Retail & Wholesale,0.5
CI,0.30609,Somewhat-Bullish,20240104T154600,Financial Markets,0.108179
CI,0.423626,Bullish,20240618T173346,Life Sciences,0.5
CI,0.276848,Somewhat-Bullish,20240131T123500,Earnings,0.818451
CI,0.341553,Somewhat-Bullish,20240617T171900,Life Sciences,0.5
CI,0.448933,Bullish,20241025T125421,Financial Markets,0.538269
CI,0.0,Neutral,20241111T151425,Life Sciences,0.25
