Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20241104,GS,0.372759,Bullish,Finance,1.0,508.94866943359375
20241106,GS,0.308339,Somewhat-Bullish,Technology,0.5,593.0420532226562
20241203,GS,0.248235,Somewhat-Bullish,Technology,0.5,602.0800170898438
20241106,GS,0.2388,Somewhat-Bullish,Earnings,0.744043,593.0420532226562
20241104,GS,0.264237,Somewhat-Bullish,Earnings,0.744043,508.94866943359375
20241107,GS,0.248541,Somewhat-Bullish,Earnings,0.650727,579.3001098632812
20241114,GS,0.400794,Bullish,Earnings,0.650727,585.7083740234375
20241119,GS,0.447673,Bullish,Technology,0.5,578.5140380859375
20241118,GS,0.427805,Bullish,Earnings,0.744043,585.0914306640625
20241127,GS,0.254104,Somewhat-Bullish,Earnings,0.650727,602.4454345703125
20241202,GS,0.364488,Bullish,Earnings,0.650727,601.7100219726562
20241125,GS,0.238055,Somewhat-Bullish,Economy - Monetary,0.890401,600.0573120117188
20241127,GS,0.226363,Somewhat-Bullish,Earnings,0.961735,602.4454345703125
20241203,GS,0.368056,Bullish,Earnings,0.976913,602.0800170898438
20241126,GS,0.261505,Somewhat-Bullish,Life Sciences,0.25,602.51513671875
20241115,GS,0.198659,Somewhat-Bullish,Energy & Transportation,0.5,590.6140747070312
20241030,GS,0.567253,Bullish,Life Sciences,0.2,521.81494140625
20241116,GS,0.341942,Somewhat-Bullish,Economy - Monetary,0.838487,598.7100219726562
20241204,GS,0.25905,Somewhat-Bullish,Earnings,0.495866,598.7100219726562
20241202,GS,0.106906,Neutral,Finance,0.5,601.7100219726562
20241122,GS,0.233886,Somewhat-Bullish,Finance,1.0,599.80859375
20241206,GS,0.4438,Bullish,Finance,1.0,599.6799926757812
20241125,GS,0.102834,Neutral,Retail & Wholesale,0.333333,600.0573120117188
20241108,GS,0.099674,Neutral,Financial Markets,0.266143,586.3551635742188
20241202,GS,0.125637,Neutral,Finance,0.5,601.7100219726562
20241206,GS,0.130899,Neutral,Financial Markets,1.0,599.6799926757812
20241118,GS,0.322788,Somewhat-Bullish,Economy - Monetary,0.451494,585.0914306640625
20241122,GS,0.281698,Somewhat-Bullish,Economy - Monetary,0.890401,599.80859375
20241125,GS,0.393047,Bullish,Finance,1.0,600.0573120117188
20241127,GS,0.034756,Neutral,Financial Markets,0.266143,602.4454345703125
20241118,GS,0.085738,Neutral,Financial Markets,0.999491,585.0914306640625
20241115,GS,0.585069,Bullish,Finance,1.0,590.6140747070312
20241203,GS,0.231039,Somewhat-Bullish,Finance,1.0,602.0800170898438
20241031,GS,-0.019509,Neutral,Financial Markets,0.918141,515.2374877929688
20241126,GS,0.177715,Somewhat-Bullish,Economy - Monetary,0.158519,602.51513671875
20241111,GS,0.203029,Somewhat-Bullish,Life Sciences,0.5,599.3707275390625
20241115,GS,0.311885,Somewhat-Bullish,Life Sciences,0.333333,590.6140747070312
20241030,GS,0.113026,Neutral,Financial Markets,0.999763,521.81494140625
