Ticker,Sentiment Score,Sentiment Label,Published Date,Topic,Relevance Score
GS,0.372759,Bullish,20241104T153419,Finance,1.0
GS,0.308339,Somewhat-Bullish,20241106T104000,Technology,0.5
GS,0.248235,Somewhat-Bullish,20241203T115800,Technology,0.5
GS,0.2388,Somewhat-Bullish,20241106T183039,Earnings,0.744043
GS,0.264237,Somewhat-Bullish,20241104T164901,Earnings,0.744043
GS,0.248541,Somewhat-Bullish,20241107T185619,Earnings,0.650727
GS,0.400794,Bullish,20241114T200150,Earnings,0.650727
GS,0.447673,Bullish,20241119T163600,Technology,0.5
GS,0.427805,Bullish,20241118T161558,Earnings,0.744043
GS,0.254104,Somewhat-Bullish,20241127T194604,Earnings,0.650727
GS,0.364488,Bullish,20241202T161530,Earnings,0.650727
GS,0.238055,Somewhat-Bullish,20241125T063000,Economy - Monetary,0.890401
GS,0.226363,Somewhat-Bullish,20241127T224505,Earnings,0.961735
GS,0.368056,Bullish,20241203T224510,Earnings,0.976913
GS,0.261505,Somewhat-Bullish,20241126T131340,Life Sciences,0.25
GS,0.198659,Somewhat-Bullish,20241115T173010,Energy & Transportation,0.5
GS,0.567253,Bullish,20241030T110600,Life Sciences,0.2
GS,0.341942,Somewhat-Bullish,20241116T181516,Economy - Monetary,0.838487
GS,0.25905,Somewhat-Bullish,20241204T133004,Earnings,0.495866
GS,0.106906,Neutral,20241202T110000,Finance,0.5
GS,0.233886,Somewhat-Bullish,20241122T133026,Finance,1.0
GS,0.4438,Bullish,20241206T162015,Finance,1.0
GS,0.102834,Neutral,20241125T112006,Retail & Wholesale,0.333333
GS,0.099674,Neutral,20241108T011502,Financial Markets,0.266143
GS,0.125637,Neutral,20241202T110000,Finance,0.5
GS,0.130899,Neutral,20241206T112007,Financial Markets,1.0
GS,0.322788,Somewhat-Bullish,20241118T135858,Economy - Monetary,0.451494
GS,0.281698,Somewhat-Bullish,20241122T130000,Economy - Monetary,0.890401
GS,0.393047,Bullish,20241125T152800,Finance,1.0
GS,0.034756,Neutral,20241127T183427,Financial Markets,0.266143
GS,0.085738,Neutral,20241118T074957,Financial Markets,0.999491
GS,0.585069,Bullish,20241115T151106,Finance,1.0
GS,0.231039,Somewhat-Bullish,20241203T075820,Finance,1.0
GS,-0.019509,Neutral,20241031T161750,Financial Markets,0.918141
GS,0.177715,Somewhat-Bullish,20241126T214847,Economy - Monetary,0.158519
GS,0.203029,Somewhat-Bullish,20241111T130000,Life Sciences,0.5
GS,0.311885,Somewhat-Bullish,20241115T105657,Life Sciences,0.333333
GS,0.113026,Neutral,20241030T080000,Financial Markets,0.999763
GS,0.129761,Neutral,20241205T122200,Economy - Monetary,0.310843
GS,0.073,Neutral,20241125T140631,Life Sciences,0.25
