Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20240621,PYPL,-0.242509,Somewhat-Bearish,Financial Markets,0.214378,60.61000061035156
20240823,PYPL,0.328472,Somewhat-Bullish,Financial Markets,0.108179,71.69999694824219
20240914,PYPL,0.249528,Somewhat-Bullish,Financial Markets,0.108179,79.30000305175781
20241031,PYPL,-0.604518,Bearish,,,79.30000305175781
20240909,PYPL,0.700036,Bullish,Energy & Transportation,0.5,69.3499984741211
20240820,PYPL,0.436625,Bullish,Earnings,0.451494,71.88999938964844
20240608,PYPL,-0.642562,Bearish,,,65.30999755859375
20240801,PYPL,-0.833053,Bearish,,,65.30999755859375
20240729,PYPL,-0.833053,Bearish,,,58.93999862670898
20240625,PYPL,-0.833053,Bearish,,,59.33000183105469
20240819,PYPL,-0.560825,Bearish,Technology,1.0,69.43000030517578
20240610,PYPL,0.515924,Bullish,Economy - Monetary,0.682689,67.08999633789062
20240807,PYPL,0.269122,Somewhat-Bullish,Financial Markets,0.316726,62.7400016784668
20240904,PYPL,0.592114,Bullish,Earnings,0.158519,72.61000061035156
20241004,PYPL,0.337341,Somewhat-Bullish,Financial Markets,0.108179,79.36000061035156
20240809,PYPL,0.256234,Somewhat-Bullish,Earnings,0.310843,64.72000122070312
20240829,PYPL,0.543781,Bullish,Energy & Transportation,1.0,73.16000366210938
20240820,PYPL,0.591948,Bullish,Technology,1.0,71.88999938964844
20240801,PYPL,0.455525,Bullish,Earnings,0.961735,65.30999755859375
20240905,PYPL,0.360399,Bullish,Energy & Transportation,0.5,72.02999877929688
20240801,PYPL,0.430409,Bullish,Earnings,0.310843,65.30999755859375
20240620,PYPL,0.639108,Bullish,Retail & Wholesale,1.0,59.79999923706055
20240611,PYPL,0.513143,Bullish,Earnings,0.961735,64.7699966430664
20240606,PYPL,0.520188,Bullish,Retail & Wholesale,0.5,67.0199966430664
20240819,PYPL,0.399079,Bullish,Financial Markets,0.365926,69.43000030517578
20240917,PYPL,0.405559,Bullish,Earnings,0.158519,71.7699966430664
20241119,PYPL,0.319962,Somewhat-Bullish,Financial Markets,0.962106,84.08999633789062
20240813,PYPL,0.361932,Bullish,Financial Markets,0.413559,65.11000061035156
20241021,PYPL,0.35609,Bullish,Financial Markets,0.365926,80.55999755859375
20240930,PYPL,0.415945,Bullish,Economy - Monetary,0.310843,78.02999877929688
20240828,PYPL,0.394325,Bullish,Earnings,0.310843,70.43000030517578
20240925,PYPL,0.16024,Somewhat-Bullish,Blockchain,0.769861,77.36000061035156
20240719,PYPL,0.387133,Bullish,Earnings,0.158519,59.33000183105469
20240930,PYPL,0.371476,Bullish,Financial Markets,0.266143,78.02999877929688
20240910,PYPL,0.316726,Somewhat-Bullish,Earnings,0.158519,68.8499984741211
20241108,PYPL,0.39981,Bullish,Earnings,0.158519,83.01000213623047
20241122,PYPL,0.349585,Somewhat-Bullish,Financial Markets,0.316726,86.7699966430664
20241106,PYPL,0.225103,Somewhat-Bullish,Financial Markets,0.365926,81.41000366210938
20240701,PYPL,0.345564,Somewhat-Bullish,Financial Markets,0.929393,57.810001373291016
20240920,PYPL,0.305207,Somewhat-Bullish,Financial Markets,0.266143,76.76000213623047
20240902,PYPL,0.556196,Bullish,Earnings,0.838487,71.69999694824219
20240823,PYPL,0.347152,Somewhat-Bullish,Earnings,0.158519,71.69999694824219
20241008,PYPL,0.265936,Somewhat-Bullish,Earnings,0.158519,81.16000366210938
20240703,PYPL,0.254996,Somewhat-Bullish,Financial Markets,0.413559,59.63999938964844
20240712,PYPL,0.284108,Somewhat-Bullish,Financial Markets,0.365926,60.27000045776367
20240620,PYPL,0.345218,Somewhat-Bullish,Earnings,0.744043,59.79999923706055
20240723,PYPL,0.331262,Somewhat-Bullish,Earnings,0.158519,59.709999084472656
20240709,PYPL,0.338321,Somewhat-Bullish,Financial Markets,0.413559,59.0
20240620,PYPL,0.363337,Bullish,Retail & Wholesale,0.5,59.79999923706055
20240906,PYPL,0.261309,Somewhat-Bullish,Earnings,0.158519,68.88999938964844
20241028,PYPL,0.280021,Somewhat-Bullish,Earnings,0.360215,83.58999633789062
20240924,PYPL,0.321966,Somewhat-Bullish,Financial Markets,0.929393,78.33999633789062
20240618,PYPL,0.535947,Bullish,Earnings,0.961735,59.119998931884766
20241112,PYPL,0.580216,Bullish,Retail & Wholesale,0.333333,86.4000015258789
20241021,PYPL,0.449004,Bullish,Earnings,0.967645,80.55999755859375
20240904,PYPL,0.393788,Bullish,Earnings,0.310843,72.61000061035156
20241017,PYPL,0.316309,Somewhat-Bullish,Earnings,0.158519,79.81999969482422
20240725,PYPL,0.383715,Bullish,Earnings,0.95493,57.220001220703125
20241104,PYPL,-0.488129,Bearish,Retail & Wholesale,0.333333,78.12999725341797
20240705,PYPL,-0.035788,Neutral,Financial Markets,0.796627,59.7599983215332
20240623,PYPL,0.381725,Bullish,Earnings,0.995015,77.47000122070312
20241001,PYPL,0.381752,Bullish,Earnings,0.684621,77.47000122070312
20240918,PYPL,0.574464,Bullish,Earnings,0.838487,73.12000274658203
20240613,PYPL,0.364955,Bullish,Financial Markets,0.962106,61.540000915527344
20241104,PYPL,0.35896,Bullish,Earnings,0.158519,78.12999725341797
20240823,PYPL,0.302822,Somewhat-Bullish,Financial Markets,0.108179,71.69999694824219
20241007,PYPL,0.540761,Bullish,Earnings,0.890401,80.26000213623047
20240917,PYPL,0.26217,Somewhat-Bullish,Earnings,0.77141,71.7699966430664
20240802,PYPL,0.334484,Somewhat-Bullish,Earnings,0.839681,61.97999954223633
20240805,PYPL,0.405511,Bullish,Earnings,0.999955,60.459999084472656
20240907,PYPL,0.446618,Bullish,IPO,0.310843,80.26000213623047
20241007,PYPL,0.42184,Bullish,Earnings,0.158519,80.26000213623047
20241023,PYPL,0.102512,Neutral,Earnings,0.576289,80.83000183105469
20240731,PYPL,0.60397,Bullish,Earnings,0.838487,65.77999877929688
20240826,PYPL,0.411801,Bullish,Finance,1.0,72.04000091552734
20240730,PYPL,0.511024,Bullish,Earnings,0.918141,64.0
20240816,PYPL,0.645215,Bullish,Earnings,0.838487,67.95999908447266
20240715,PYPL,0.689467,Bullish,Earnings,0.769861,60.470001220703125
20240618,PYPL,0.374557,Bullish,Financial Markets,0.365926,59.119998931884766
20240608,PYPL,0.33773,Somewhat-Bullish,Earnings,0.538269,68.8499984741211
20240910,PYPL,0.473036,Bullish,Technology,1.0,68.8499984741211
20240831,PYPL,-0.599672,Bearish,Life Sciences,1.0,60.470001220703125
20240715,PYPL,0.22212,Somewhat-Bullish,Finance,1.0,60.470001220703125
20240614,PYPL,0.231755,Somewhat-Bullish,Financial Markets,0.962106,60.6349983215332
20241105,PYPL,0.580434,Bullish,Earnings,0.838487,79.25
20240925,PYPL,0.578696,Bullish,Financial Markets,0.214378,77.36000061035156
20241028,PYPL,0.311501,Somewhat-Bullish,Earnings,0.310843,83.58999633789062
20241002,PYPL,-0.542438,Bearish,Retail & Wholesale,0.5,77.44000244140625
20240903,PYPL,-0.542438,Bearish,Retail & Wholesale,0.5,72.0
20240805,PYPL,-0.645017,Bearish,Retail & Wholesale,0.5,60.459999084472656
20240703,PYPL,-0.645017,Bearish,Retail & Wholesale,0.5,59.63999938964844
20240804,PYPL,0.30976,Somewhat-Bullish,IPO,0.451494,58.02999877929688
20240628,PYPL,0.342632,Somewhat-Bullish,Earnings,0.108179,58.02999877929688
20240730,PYPL,0.564111,Bullish,Earnings,0.98396,64.0
20240625,PYPL,0.20559,Somewhat-Bullish,Financial Markets,0.316726,59.33000183105469
20241123,PYPL,0.547594,Bullish,Earnings,0.650727,86.7699966430664
20241129,PYPL,0.389143,Bullish,Earnings,0.158519,86.7699966430664
20240827,PYPL,0.382382,Bullish,Earnings,0.938793,71.58999633789062
20241023,PYPL,0.607102,Bullish,Financial Markets,0.744043,80.83000183105469
20240605,PYPL,0.325318,Somewhat-Bullish,Earnings,0.158519,63.52999877929688
20240626,PYPL,0.372628,Bullish,Earnings,0.857896,58.2599983215332
20241022,PYPL,0.252548,Somewhat-Bullish,Earnings,0.158519,80.91000366210938
20240615,PYPL,0.218134,Somewhat-Bullish,Financial Markets,0.999922,68.88999938964844
20240906,PYPL,0.490812,Bullish,Technology,0.333333,68.88999938964844
20241025,PYPL,0.542469,Bullish,Retail & Wholesale,0.5,81.69999694824219
20241104,PYPL,0.459755,Bullish,Earnings,0.360215,78.12999725341797
20240912,PYPL,0.553764,Bullish,Economy - Monetary,0.158519,70.36000061035156
20240709,PYPL,0.264629,Somewhat-Bullish,Earnings,0.495866,59.0
20240731,PYPL,0.529367,Bullish,Earnings,0.714479,65.77999877929688
20241028,PYPL,0.65011,Bullish,Earnings,0.495866,83.58999633789062
20240821,PYPL,0.198396,Somewhat-Bullish,Technology,1.0,71.45999908447266
20241115,PYPL,0.349318,Somewhat-Bullish,Financial Markets,0.214378,85.83000183105469
20240820,PYPL,0.535003,Bullish,Retail & Wholesale,0.333333,71.88999938964844
20240624,PYPL,0.178601,Somewhat-Bullish,Earnings,0.161647,59.4900016784668
20240701,PYPL,0.500714,Bullish,Earnings,0.994953,57.810001373291016
20241203,PYPL,0.237724,Somewhat-Bullish,Earnings,0.158519,85.13999938964844
20240621,PYPL,0.130221,Neutral,Financial Markets,0.459462,60.61000061035156
20240605,PYPL,0.284922,Somewhat-Bullish,Earnings,0.77141,63.52999877929688
20240906,PYPL,0.336025,Somewhat-Bullish,Earnings,0.650727,68.88999938964844
20240925,PYPL,0.0,Neutral,Blockchain,0.769861,77.36000061035156
20240917,PYPL,0.346258,Somewhat-Bullish,Financial Markets,0.108179,71.7699966430664
20240910,PYPL,0.306581,Somewhat-Bullish,Blockchain,0.769861,68.8499984741211
20241205,PYPL,-0.410324,Bearish,Retail & Wholesale,0.333333,89.04499816894531
20240912,PYPL,0.471884,Bullish,Earnings,0.684621,70.36000061035156
20240729,PYPL,0.145112,Neutral,Earnings,0.614606,58.93999862670898
20240607,PYPL,0.541222,Bullish,Finance,1.0,67.30000305175781
20241007,PYPL,0.228386,Somewhat-Bullish,Earnings,0.972476,80.26000213623047
20241029,PYPL,0.200114,Somewhat-Bullish,Earnings,0.918141,80.27999877929688
20240711,PYPL,0.409143,Bullish,Economy - Monetary,0.158519,59.9900016784668
20240731,PYPL,0.455789,Bullish,Earnings,0.94762,65.77999877929688
20240621,PYPL,0.437399,Bullish,Earnings,0.538269,60.61000061035156
20240912,PYPL,-0.451738,Bearish,Technology,0.5,70.36000061035156
20240816,PYPL,0.52664,Bullish,Financial Markets,0.365926,67.95999908447266
20241016,PYPL,0.458184,Bullish,Earnings,0.451494,80.81999969482422
20240808,PYPL,0.339655,Somewhat-Bullish,Earnings,0.999336,64.27999877929688
20240909,PYPL,0.361097,Bullish,Economy - Monetary,0.9545,69.3499984741211
20240914,PYPL,0.414987,Bullish,Economy - Monetary,0.158519,78.02999877929688
20240930,PYPL,0.350984,Bullish,Earnings,0.961735,78.02999877929688
20240716,PYPL,0.356344,Bullish,Earnings,0.990893,61.810001373291016
20240911,PYPL,-0.439659,Bearish,Real Estate & Construction,0.5,69.3499984741211
20240818,PYPL,0.364086,Bullish,Earnings,0.495866,78.33999633789062
20240924,PYPL,0.27602,Somewhat-Bullish,Earnings,0.938793,78.33999633789062
20240926,PYPL,0.484341,Bullish,Earnings,0.310843,80.08000183105469
20240809,PYPL,0.267697,Somewhat-Bullish,Financial Markets,0.995077,64.72000122070312
20240620,PYPL,0.214262,Somewhat-Bullish,Earnings,0.961735,59.79999923706055
20240827,PYPL,0.709109,Bullish,Financial Markets,0.990999,71.58999633789062
20240628,PYPL,0.433147,Bullish,IPO,0.310843,58.02999877929688
20240711,PYPL,0.174475,Somewhat-Bullish,Earnings,0.976913,59.9900016784668
20241105,PYPL,0.355954,Bullish,Earnings,0.997405,79.25
20241030,PYPL,0.54659,Bullish,Earnings,0.99992,78.22000122070312
20240803,PYPL,0.620229,Bullish,Earnings,0.998311,65.77999877929688
20240731,PYPL,0.106119,Neutral,Life Sciences,0.5,65.77999877929688
20240626,PYPL,0.272703,Somewhat-Bullish,Earnings,0.961735,58.2599983215332
20240829,PYPL,0.320224,Somewhat-Bullish,Earnings,0.997874,73.16000366210938
20241108,PYPL,0.101176,Neutral,Blockchain,0.451494,83.01000213623047
20241003,PYPL,0.112542,Neutral,Blockchain,0.999326,77.30999755859375
20241128,PYPL,0.347499,Somewhat-Bullish,Earnings,0.99986,68.88999938964844
20241123,PYPL,0.1142,Neutral,Economy - Monetary,0.158519,68.88999938964844
20240906,PYPL,0.529549,Bullish,Earnings,0.938238,68.88999938964844
20240802,PYPL,0.439903,Bullish,Earnings,0.999759,61.97999954223633
20240902,PYPL,-0.383731,Bearish,Technology,0.333333,59.709999084472656
20240723,PYPL,0.20731,Somewhat-Bullish,Earnings,0.986564,59.709999084472656
20240912,PYPL,0.243829,Somewhat-Bullish,Earnings,0.938793,70.36000061035156
20240716,PYPL,0.144821,Neutral,Earnings,0.999999,61.810001373291016
20240926,PYPL,0.335202,Somewhat-Bullish,Blockchain,0.972193,80.08000183105469
20240624,PYPL,0.12241,Neutral,Earnings,0.999999,59.4900016784668
20241015,PYPL,0.20296,Somewhat-Bullish,Earnings,0.976913,79.55000305175781
20240717,PYPL,0.247643,Somewhat-Bullish,Earnings,0.986564,61.2400016784668
20240610,PYPL,0.130996,Neutral,Earnings,0.999999,67.08999633789062
20241008,PYPL,0.128364,Neutral,Financial Markets,0.538269,81.16000366210938
20240821,PYPL,0.370268,Bullish,Earnings,0.839681,71.45999908447266
20240803,PYPL,-0.389937,Bearish,Technology,0.333333,81.6500015258789
20241009,PYPL,0.477844,Bullish,Financial Markets,0.495866,81.6500015258789
20240726,PYPL,0.419127,Bullish,Economy - Monetary,0.158519,58.290000915527344
20240924,PYPL,0.305364,Somewhat-Bullish,Earnings,0.993856,78.33999633789062
20240612,PYPL,0.131667,Neutral,Blockchain,0.9545,63.43000030517578
20241024,PYPL,0.153162,Somewhat-Bullish,Earnings,0.980509,81.38999938964844
20240619,PYPL,0.5159,Bullish,Financial Markets,0.365926,59.63999938964844
20240703,PYPL,-0.377496,Bearish,Technology,0.333333,59.63999938964844
20240821,PYPL,0.545801,Bullish,Earnings,0.161647,71.45999908447266
20240801,PYPL,0.11227,Neutral,Earnings,0.983605,65.30999755859375
20241003,PYPL,0.283958,Somewhat-Bullish,Earnings,0.998311,77.30999755859375
20240806,PYPL,0.130288,Neutral,Earnings,1.0,62.75
20240826,PYPL,0.316653,Somewhat-Bullish,Economy - Monetary,0.158519,72.04000091552734
