Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20240820,AMD,0.464816,Bullish,Technology,0.5,156.39999389648438
20241016,AMD,0.569862,Bullish,Technology,0.5,156.1300048828125
20241128,AMD,0.297103,Somewhat-Bullish,Financial Markets,0.161647,139.38999938964844
20241119,AMD,0.426668,Bullish,Technology,0.333333,139.38999938964844
20241018,AMD,0.811307,Bullish,Financial Markets,0.161647,155.97000122070312
20241202,AMD,0.625266,Bullish,Manufacturing,1.0,142.05999755859375
20241029,AMD,0.589485,Bullish,Earnings,0.360215,166.25
20240917,AMD,0.288024,Somewhat-Bullish,Manufacturing,1.0,150.82000732421875
20241205,AMD,0.32285,Somewhat-Bullish,Manufacturing,1.0,141.36000061035156
20240924,AMD,0.224006,Somewhat-Bullish,Financial Markets,0.108179,158.32000732421875
20241010,AMD,0.337251,Somewhat-Bullish,Technology,0.5,164.17999267578125
20241008,AMD,0.543566,Bullish,Manufacturing,1.0,172.8000030517578
20241105,AMD,0.383648,Bullish,Financial Markets,0.108179,141.66000366210938
20241018,AMD,0.383648,Bullish,Financial Markets,0.108179,155.97000122070312
20241012,AMD,0.539887,Bullish,Manufacturing,1.0,162.85000610351562
20241003,AMD,0.383648,Bullish,Financial Markets,0.108179,162.85000610351562
20240911,AMD,0.383648,Bullish,Financial Markets,0.108179,149.86000061035156
20240829,AMD,0.383648,Bullish,Financial Markets,0.108179,145.49000549316406
20241112,AMD,0.363416,Bullish,Manufacturing,1.0,143.6300048828125
20241015,AMD,0.785574,Bullish,Manufacturing,1.0,156.63999938964844
20240823,AMD,0.741236,Bullish,Financial Markets,0.108179,154.97999572753906
20240909,AMD,0.394793,Bullish,Financial Markets,0.744043,138.14999389648438
20240909,AMD,0.317764,Somewhat-Bullish,Financial Markets,0.108179,138.14999389648438
20241010,AMD,0.370295,Bullish,Earnings,0.360215,164.17999267578125
20240823,AMD,0.409483,Bullish,Financial Markets,0.650727,154.97999572753906
20240912,AMD,0.283246,Somewhat-Bullish,Financial Markets,0.929393,150.77000427246094
20240919,AMD,0.317361,Somewhat-Bullish,Financial Markets,0.503496,156.74000549316406
20241004,AMD,0.466182,Bullish,Finance,0.5,170.89999389648438
20241028,AMD,-0.040894,Neutral,Earnings,0.360215,159.9199981689453
20241010,AMD,0.404772,Bullish,Financial Markets,0.650727,164.17999267578125
20241010,AMD,0.246285,Somewhat-Bullish,Retail & Wholesale,0.333333,164.17999267578125
20241021,AMD,0.365413,Bullish,Earnings,0.650727,157.89999389648438
20241010,AMD,0.268971,Somewhat-Bullish,Retail & Wholesale,0.333333,164.17999267578125
20240911,AMD,0.438625,Bullish,Technology,0.5,149.86000061035156
20241030,AMD,0.577178,Bullish,Technology,0.5,148.60000610351562
20240926,AMD,0.404976,Bullish,Technology,0.5,167.49000549316406
20240822,AMD,0.322867,Somewhat-Bullish,Manufacturing,1.0,151.6999969482422
20240825,AMD,0.269818,Somewhat-Bullish,Retail & Wholesale,0.333333,140.8699951171875
20240904,AMD,0.474391,Bullish,Technology,0.5,140.8699951171875
20241015,AMD,0.49078,Bullish,Retail & Wholesale,0.333333,156.63999938964844
20240903,AMD,0.545404,Bullish,Manufacturing,1.0,136.94000244140625
20241030,AMD,0.255451,Somewhat-Bullish,Earnings,0.158519,148.60000610351562
20240821,AMD,0.480056,Bullish,Earnings,0.576289,157.80999755859375
20240822,AMD,0.035799,Neutral,Earnings,0.360215,151.6999969482422
20241029,AMD,0.382214,Bullish,Financial Markets,0.214378,166.25
20241206,AMD,0.385791,Bullish,Financial Markets,0.365926,138.58999633789062
