Ticker,Sentiment Score,Sentiment Label,Published Date,Topic,Relevance Score
AMD,0.464816,Bullish,20240820T201500,Technology,0.5
AMD,0.569862,Bullish,20241016T130000,Technology,0.5
AMD,0.297103,Somewhat-Bullish,20241128T110000,Financial Markets,0.161647
AMD,0.426668,Bullish,20241119T211500,Technology,0.333333
AMD,0.811307,Bullish,20241018T113000,Financial Markets,0.161647
AMD,0.625266,Bullish,20241202T163252,Manufacturing,1.0
AMD,0.589485,Bullish,20241029T082200,Earnings,0.360215
AMD,0.288024,Somewhat-Bullish,20240917T121500,Manufacturing,1.0
AMD,0.32285,Somewhat-Bullish,20241205T161231,Manufacturing,1.0
AMD,0.224006,Somewhat-Bullish,20240924T131704,Financial Markets,0.108179
AMD,0.337251,Somewhat-Bullish,20241010T212559,Technology,0.5
AMD,0.543566,Bullish,20241008T080300,Manufacturing,1.0
AMD,0.383648,Bullish,20241105T173044,Financial Markets,0.108179
AMD,0.383648,Bullish,20241018T140518,Financial Markets,0.108179
AMD,0.539887,Bullish,20241012T150000,Manufacturing,1.0
AMD,0.383648,Bullish,20241003T143604,Financial Markets,0.108179
AMD,0.383648,Bullish,20240911T163021,Financial Markets,0.108179
AMD,0.383648,Bullish,20240829T180104,Financial Markets,0.108179
AMD,0.363416,Bullish,20241112T110000,Manufacturing,1.0
AMD,0.785574,Bullish,20241015T134644,Manufacturing,1.0
AMD,0.741236,Bullish,20240823T120042,Financial Markets,0.108179
AMD,0.394793,Bullish,20240909T150837,Financial Markets,0.744043
AMD,0.317764,Somewhat-Bullish,20240909T133403,Financial Markets,0.108179
AMD,0.370295,Bullish,20241010T092000,Earnings,0.360215
AMD,0.409483,Bullish,20240823T122555,Financial Markets,0.650727
AMD,0.283246,Somewhat-Bullish,20240912T150300,Financial Markets,0.929393
AMD,0.317361,Somewhat-Bullish,20240919T125300,Financial Markets,0.503496
AMD,0.466182,Bullish,20241004T192713,Finance,0.5
AMD,-0.040894,Neutral,20241028T202553,Earnings,0.360215
AMD,0.404772,Bullish,20241010T175800,Financial Markets,0.650727
AMD,0.246285,Somewhat-Bullish,20241010T180000,Retail & Wholesale,0.333333
AMD,0.365413,Bullish,20241021T151128,Earnings,0.650727
AMD,0.268971,Somewhat-Bullish,20241010T180000,Retail & Wholesale,0.333333
AMD,0.438625,Bullish,20240911T182643,Technology,0.5
AMD,0.577178,Bullish,20241030T171653,Technology,0.5
AMD,0.404976,Bullish,20240926T130000,Technology,0.5
AMD,0.322867,Somewhat-Bullish,20240822T160002,Manufacturing,1.0
AMD,0.269818,Somewhat-Bullish,20240825T090200,Retail & Wholesale,0.333333
AMD,0.474391,Bullish,20240904T131002,Technology,0.5
AMD,0.49078,Bullish,20241015T133000,Retail & Wholesale,0.333333
AMD,0.545404,Bullish,20240903T140610,Manufacturing,1.0
AMD,0.255451,Somewhat-Bullish,20241030T140854,Earnings,0.158519
AMD,0.480056,Bullish,20240821T135900,Earnings,0.576289
AMD,0.035799,Neutral,20240822T141514,Earnings,0.360215
AMD,0.382214,Bullish,20241029T213200,Financial Markets,0.214378
AMD,0.385791,Bullish,20241206T160400,Financial Markets,0.365926
AMD,0.271226,Somewhat-Bullish,20241207T210500,Financial Markets,0.87644
AMD,0.353711,Bullish,20241010T230840,Technology,0.5
AMD,0.474485,Bullish,20240826T184621,Financial Markets,0.997902
AMD,0.408337,Bullish,20240821T182600,Mergers & Acquisitions,0.158519
AMD,0.133481,Neutral,20241010T100000,Retail & Wholesale,0.333333
AMD,0.108658,Neutral,20241029T212706,Earnings,0.999606
AMD,0.354129,Bullish,20241028T181600,Earnings,0.495866
AMD,0.313446,Somewhat-Bullish,20241119T194544,Financial Markets,0.316726
AMD,0.240472,Somewhat-Bullish,20241029T204000,Earnings,0.998962
AMD,0.460656,Bullish,20241120T163500,Retail & Wholesale,0.25
AMD,0.341,Somewhat-Bullish,20240903T154500,Financial Markets,0.365926
AMD,0.187045,Somewhat-Bullish,20241011T014010,Technology,0.5
AMD,0.372789,Bullish,20241025T164400,Financial Markets,0.266143
AMD,0.559754,Bullish,20241007T163300,Financial Markets,0.266143
AMD,0.300688,Somewhat-Bullish,20240824T114500,Financial Markets,0.360215
AMD,0.682934,Bullish,20240913T130259,Financial Markets,0.413559
AMD,0.191261,Somewhat-Bullish,20241114T032350,Financial Markets,0.796627
AMD,0.397369,Bullish,20240910T174618,Financial Markets,0.316726
AMD,0.191433,Somewhat-Bullish,20240826T141529,Financial Markets,0.977154
AMD,0.341461,Somewhat-Bullish,20240904T190358,Financial Markets,0.413559
AMD,0.184105,Somewhat-Bullish,20241112T153954,Financial Markets,0.316726
AMD,0.256107,Somewhat-Bullish,20241012T134500,Earnings,0.999996
AMD,0.16621,Somewhat-Bullish,20240821T113500,Technology,0.5
AMD,0.431106,Bullish,20240829T133500,Earnings,0.977154
AMD,0.455728,Bullish,20240820T185111,Financial Markets,0.538269
AMD,0.337799,Somewhat-Bullish,20241030T192624,Financial Markets,0.413559
AMD,0.343651,Somewhat-Bullish,20241106T170300,Financial Markets,0.365926
AMD,0.211777,Somewhat-Bullish,20241204T173227,Financial Markets,0.962106
AMD,0.385563,Bullish,20241108T110000,Earnings,0.938238
AMD,0.421934,Bullish,20240823T103000,Financial Markets,0.929393
AMD,0.295814,Somewhat-Bullish,20240911T031712,Technology,0.5
AMD,0.462931,Bullish,20241010T014135,Life Sciences,0.333333
AMD,-0.154673,Somewhat-Bearish,20240827T132900,Energy & Transportation,0.5
AMD,0.4976,Bullish,20241120T164320,Earnings,0.451494
AMD,0.317943,Somewhat-Bullish,20241016T123000,Earnings,0.995077
AMD,0.395647,Bullish,20241118T182505,Financial Markets,0.999186
AMD,0.282753,Somewhat-Bullish,20240828T081012,Technology,0.5
AMD,0.337555,Somewhat-Bullish,20240822T110000,Financial Markets,0.108179
AMD,0.341405,Somewhat-Bullish,20241122T161229,Earnings,0.495866
AMD,0.321988,Somewhat-Bullish,20240821T193234,Finance,0.5
AMD,0.336615,Somewhat-Bullish,20241018T082800,Retail & Wholesale,0.333333
AMD,0.353331,Bullish,20240905T141955,Financial Markets,0.266143
AMD,0.137718,Neutral,20240918T122300,Technology,0.5
AMD,0.082434,Neutral,20241126T153506,Financial Markets,0.365926
AMD,0.290888,Somewhat-Bullish,20241021T214523,Earnings,0.99246
AMD,0.648905,Bullish,20241030T002617,Manufacturing,1.0
AMD,0.308936,Somewhat-Bullish,20240830T184500,Economy - Monetary,0.158519
AMD,0.140584,Neutral,20241116T131900,Economy - Monetary,0.158519
AMD,0.369582,Bullish,20241205T092300,Financial Markets,0.459462
AMD,0.281318,Somewhat-Bullish,20240903T121600,Economy - Monetary,0.158519
AMD,0.282291,Somewhat-Bullish,20241030T171500,Financial Markets,0.360215
AMD,0.114729,Neutral,20241022T140104,Financial Markets,0.929393
AMD,0.506983,Bullish,20241103T105500,Financial Markets,0.858979
AMD,0.432712,Bullish,20241010T180100,Financial Markets,0.77141
AMD,0.175926,Somewhat-Bullish,20240918T214520,Earnings,0.961735
AMD,0.355816,Bullish,20240910T134817,Financial Markets,0.214378
AMD,0.337114,Somewhat-Bullish,20241104T094100,Financial Markets,0.999365
AMD,0.21887,Somewhat-Bullish,20240910T062324,Financial Markets,0.214378
AMD,0.35668,Bullish,20240825T171300,Earnings,0.158519
AMD,0.208394,Somewhat-Bullish,20241031T130000,Financial Markets,0.77141
AMD,0.361236,Bullish,20240821T134622,Financial Markets,0.266143
AMD,0.386426,Bullish,20241202T184301,Financial Markets,0.316726
AMD,0.387283,Bullish,20240909T134610,Financial Markets,0.266143
AMD,0.154691,Somewhat-Bullish,20241106T133900,Earnings,0.875462
AMD,0.328195,Somewhat-Bullish,20240930T214519,Earnings,0.95493
AMD,0.361801,Bullish,20240924T214519,Earnings,0.972476
AMD,0.640186,Bullish,20240930T101500,Financial Markets,0.977154
AMD,-0.027918,Neutral,20241030T143730,Financial Markets,0.214378
AMD,0.271112,Somewhat-Bullish,20241011T124757,Technology,0.5
AMD,0.278316,Somewhat-Bullish,20241011T100000,Financial Markets,0.459462
AMD,0.425538,Bullish,20241014T160011,Earnings,0.310843
AMD,0.358112,Bullish,20240828T191526,Financial Markets,0.108179
AMD,0.257051,Somewhat-Bullish,20241016T164600,Retail & Wholesale,0.333333
AMD,0.259471,Somewhat-Bullish,20241010T175900,Retail & Wholesale,0.333333
AMD,0.172468,Somewhat-Bullish,20241021T203033,Financial Markets,0.962106
AMD,0.350964,Bullish,20240924T170126,Financial Markets,0.266143
AMD,0.384572,Bullish,20240828T155700,Financial Markets,0.962106
AMD,0.051153,Neutral,20241014T144539,Financial Markets,0.980922
AMD,0.183426,Somewhat-Bullish,20240918T143122,Financial Markets,0.316726
AMD,0.299916,Somewhat-Bullish,20240911T141500,IPO,0.158519
AMD,0.324224,Somewhat-Bullish,20241106T101200,Financial Markets,0.266143
AMD,0.304941,Somewhat-Bullish,20241129T153000,Retail & Wholesale,0.333333
AMD,0.24183,Somewhat-Bullish,20240829T153100,Financial Markets,0.87644
AMD,0.290197,Somewhat-Bullish,20241008T171609,Financial Markets,0.962106
AMD,0.131629,Neutral,20241030T172141,Earnings,0.999606
AMD,0.445929,Bullish,20241029T185930,Financial Markets,0.214378
AMD,0.296992,Somewhat-Bullish,20240920T153030,Financial Markets,0.316726
AMD,0.161338,Somewhat-Bullish,20240905T214519,Earnings,0.961735
AMD,0.141592,Neutral,20241114T031508,Financial Markets,0.158519
AMD,0.248077,Somewhat-Bullish,20241125T162506,Financial Markets,0.161647
AMD,0.207464,Somewhat-Bullish,20241007T214520,Earnings,0.961735
AMD,0.271017,Somewhat-Bullish,20240912T214521,Earnings,0.99246
AMD,0.427287,Bullish,20241101T150035,Financial Markets,0.54554
AMD,0.287238,Somewhat-Bullish,20241106T130000,IPO,0.310843
AMD,0.483553,Bullish,20240823T080000,Earnings,0.999346
AMD,-0.14524,Neutral,20240916T220552,Technology,0.5
AMD,0.784761,Bullish,20241129T031138,Earnings,0.87644
AMD,0.540146,Bullish,20241113T133000,Earnings,0.999992
AMD,-0.525878,Bearish,20241111T150000,Manufacturing,1.0
AMD,-0.525878,Bearish,20241008T102100,Manufacturing,1.0
AMD,-0.510882,Bearish,20240826T134927,Manufacturing,1.0
AMD,-0.510882,Bearish,20240822T153626,Manufacturing,1.0
AMD,0.09025,Neutral,20241101T095200,Earnings,0.99676
AMD,0.373826,Bullish,20240831T100000,Financial Markets,0.999701
AMD,0.316667,Somewhat-Bullish,20241019T090000,Life Sciences,0.333333
AMD,0.230011,Somewhat-Bullish,20241124T124500,Retail & Wholesale,0.5
AMD,0.242877,Somewhat-Bullish,20241129T130000,Earnings,0.858979
AMD,0.470759,Bullish,20240913T032714,Life Sciences,0.2
AMD,0.210561,Somewhat-Bullish,20241022T082600,Financial Markets,0.360215
AMD,0.336499,Somewhat-Bullish,20241018T150047,Financial Markets,0.503496
AMD,0.212612,Somewhat-Bullish,20241015T195954,Technology,0.5
AMD,0.326023,Somewhat-Bullish,20240919T150044,Financial Markets,0.503496
AMD,0.089338,Neutral,20240925T122536,Finance,0.5
AMD,0.327553,Somewhat-Bullish,20240829T083500,Financial Markets,0.365926
AMD,0.496878,Bullish,20241108T154036,Financial Markets,0.98396
AMD,0.188256,Somewhat-Bullish,20241014T214522,Earnings,0.976913
AMD,0.458944,Bullish,20240927T104900,Earnings,1.0
AMD,0.371186,Bullish,20241129T092734,Financial Markets,0.365926
AMD,0.22827,Somewhat-Bullish,20241016T135237,Technology,0.5
AMD,0.212135,Somewhat-Bullish,20241014T075525,Retail & Wholesale,0.333333
AMD,0.242126,Somewhat-Bullish,20241030T110000,Earnings,1.0
AMD,0.450699,Bullish,20240830T083000,Financial Markets,0.918141
AMD,0.122622,Neutral,20241015T162133,Financial Markets,0.161647
AMD,0.536419,Bullish,20240829T103000,Earnings,0.992549
AMD,-0.181957,Somewhat-Bearish,20241002T005039,Economy - Monetary,0.310843
AMD,0.140799,Neutral,20241018T164600,Financial Markets,0.684621
AMD,0.412233,Bullish,20241030T143433,Financial Markets,0.999186
AMD,0.300837,Somewhat-Bullish,20241004T150056,Financial Markets,0.5855
AMD,0.57753,Bullish,20241116T002900,Earnings,0.858979
