Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20240920,INTC,0.0,Neutral,Financial Markets,0.108179,21.84000015258789
20240909,INTC,0.0,Neutral,Financial Markets,0.108179,19.06999969482422
20241104,INTC,-0.382705,Bearish,Financial Markets,0.161647,22.520000457763672
20241014,INTC,0.281908,Somewhat-Bullish,Financial Markets,0.108179,23.440000534057617
20240830,INTC,0.289766,Somewhat-Bullish,Financial Markets,0.108179,22.040000915527344
20240910,INTC,0.204163,Somewhat-Bullish,Technology,0.5,18.979999542236328
20240905,INTC,-0.026052,Neutral,Earnings,0.495866,19.399999618530277
20241202,INTC,0.297287,Somewhat-Bullish,Manufacturing,1.0,23.93000030517578
20241104,INTC,0.427171,Bullish,Financial Markets,0.108179,22.520000457763672
20240917,INTC,0.568302,Bullish,Manufacturing,1.0,21.46999931335449
20240917,INTC,0.361636,Bullish,Financial Markets,0.108179,21.46999931335449
20240926,INTC,0.812728,Bullish,Manufacturing,1.0,23.920000076293945
20241206,INTC,0.730894,Bullish,Financial Markets,0.161647,20.920000076293945
20240924,INTC,0.174558,Somewhat-Bullish,Financial Markets,0.108179,22.809999465942383
20240807,INTC,0.091273,Neutral,Financial Markets,0.108179,18.989999771118164
20240805,INTC,0.417023,Bullish,Earnings,0.158519,19.983234405517575
20241202,INTC,0.367347,Bullish,Financial Markets,0.108179,23.93000030517578
20241126,INTC,0.378346,Bullish,Financial Markets,0.108179,24.049999237060547
20240817,INTC,0.377672,Bullish,Manufacturing,1.0,25.049999237060547
20241111,INTC,0.089619,Neutral,Financial Markets,0.360215,25.049999237060547
20240916,INTC,0.579337,Bullish,Financial Markets,0.108179,20.90999984741211
20241112,INTC,0.363416,Bullish,Manufacturing,1.0,24.15999984741211
20240809,INTC,0.226926,Somewhat-Bullish,Financial Markets,0.962106,19.709999084472656
20240809,INTC,-0.663985,Bearish,Manufacturing,1.0,19.709999084472656
20240808,INTC,-0.663985,Bearish,Manufacturing,1.0,20.489999771118164
20240806,INTC,-0.516027,Bearish,Manufacturing,1.0,19.70499992370605
20240805,INTC,-0.663985,Bearish,Manufacturing,1.0,19.983234405517575
20240903,INTC,-0.046518,Neutral,Technology,0.5,20.100000381469727
20240809,INTC,0.32081,Somewhat-Bullish,Manufacturing,1.0,19.709999084472656
20241002,INTC,0.017131,Neutral,Financial Markets,0.905476,22.38999938964844
20241202,INTC,0.308214,Somewhat-Bullish,Financial Markets,0.214378,23.93000030517578
20240916,INTC,0.596201,Bullish,Financial Markets,0.108179,20.90999984741211
20240802,INTC,-0.034401,Neutral,Earnings,0.576289,21.3445987701416
20240917,INTC,0.457969,Bullish,Retail & Wholesale,0.5,21.46999931335449
20241202,INTC,0.29629,Somewhat-Bullish,Manufacturing,1.0,23.93000030517578
20240819,INTC,0.271139,Somewhat-Bullish,Financial Markets,0.962106,21.520000457763672
20240904,INTC,0.154223,Somewhat-Bullish,Financial Markets,0.929393,19.43000030517578
20240917,INTC,0.089713,Neutral,Retail & Wholesale,0.5,21.46999931335449
20240923,INTC,0.05364,Neutral,Financial Markets,0.266143,22.559999465942383
20240812,INTC,-0.083701,Neutral,Earnings,0.576289,19.36000061035156
20241125,INTC,0.18347,Somewhat-Bullish,Earnings,0.108179,24.8700008392334
20240916,INTC,0.659622,Bullish,Manufacturing,1.0,20.90999984741211
20240923,INTC,0.234564,Somewhat-Bullish,Retail & Wholesale,0.333333,22.559999465942383
20240826,INTC,0.252818,Somewhat-Bullish,Financial Markets,0.990999,20.1299991607666
20241021,INTC,0.393116,Bullish,Earnings,0.310843,22.84000015258789
20240924,INTC,0.378335,Bullish,Financial Markets,0.365926,22.809999465942383
20240924,INTC,0.310582,Somewhat-Bullish,Retail & Wholesale,0.333333,22.809999465942383
20241120,INTC,0.382288,Bullish,Retail & Wholesale,0.333333,24.01000022888184
20241015,INTC,0.041858,Neutral,Financial Markets,0.108179,22.65999984741211
20241104,INTC,0.099868,Neutral,Earnings,0.538269,22.520000457763672
20240927,INTC,0.479375,Bullish,Financial Markets,0.108179,23.90999984741211
20241028,INTC,0.283127,Somewhat-Bullish,Financial Markets,0.962106,22.920000076293945
20241031,INTC,0.586214,Bullish,Earnings,0.938793,21.520000457763672
20240815,INTC,0.142196,Neutral,Earnings,0.158519,20.690000534057617
20240820,INTC,0.226663,Somewhat-Bullish,Manufacturing,1.0,20.989999771118164
20241016,INTC,-0.029206,Neutral,Technology,0.5,22.309999465942383
20241109,INTC,0.264191,Somewhat-Bullish,Earnings,0.95493,23.31999969482422
20241105,INTC,0.290974,Somewhat-Bullish,Financial Markets,0.108179,23.31999969482422
20240923,INTC,0.142732,Neutral,Finance,0.5,22.559999465942383
20240927,INTC,0.012445,Neutral,Manufacturing,1.0,23.90999984741211
20240830,INTC,-0.126874,Neutral,Finance,0.5,22.040000915527344
20240918,INTC,0.436508,Bullish,Earnings,0.158519,20.770000457763672
20240925,INTC,0.384166,Bullish,Financial Markets,0.999365,23.540000915527344
20240814,INTC,0.155163,Somewhat-Bullish,Earnings,0.684621,19.920000076293945
20240921,INTC,0.094404,Neutral,Retail & Wholesale,0.5,28.866878509521484
20240801,INTC,0.30428,Somewhat-Bullish,Financial Markets,0.5855,28.866878509521484
20240805,INTC,0.170801,Somewhat-Bullish,Earnings,0.158519,19.983234405517575
20240926,INTC,0.18683,Somewhat-Bullish,Retail & Wholesale,0.333333,23.920000076293945
20240810,INTC,0.111007,Neutral,Earnings,0.310843,23.200000762939453
20241101,INTC,0.326816,Somewhat-Bullish,Earnings,0.967645,23.200000762939453
20240823,INTC,-0.069614,Neutral,Financial Markets,0.108179,20.540000915527344
20241202,INTC,0.053395,Neutral,Technology,0.5,23.93000030517578
20240913,INTC,0.316773,Somewhat-Bullish,Technology,0.5,19.65999984741211
20241001,INTC,0.417516,Bullish,Financial Markets,0.108179,22.690000534057617
20240917,INTC,0.409576,Bullish,Retail & Wholesale,0.5,21.46999931335449
20241024,INTC,-0.181462,Somewhat-Bearish,Financial Markets,0.108179,22.34000015258789
20240927,INTC,0.124917,Neutral,Technology,0.5,23.90999984741211
20240802,INTC,0.250483,Somewhat-Bullish,Financial Markets,0.996023,21.3445987701416
20241122,INTC,0.345985,Somewhat-Bullish,Earnings,0.158519,24.5
20241126,INTC,0.160844,Somewhat-Bullish,Finance,0.5,24.049999237060547
