Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20241121,NVDA,0.374189,Bullish,Manufacturing,1.0,146.65989685058594
20241121,NVDA,0.359036,Bullish,Manufacturing,1.0,146.65989685058594
20241122,NVDA,0.32082,Somewhat-Bullish,Earnings,0.158519,141.94021606445312
20241202,NVDA,0.568302,Bullish,Financial Markets,0.108179,138.62045288085938
20241120,NVDA,0.433693,Bullish,Manufacturing,1.0,145.87994384765625
20241202,NVDA,0.641634,Bullish,Manufacturing,1.0,138.62045288085938
20241121,NVDA,0.584755,Bullish,Manufacturing,1.0,146.65989685058594
20241120,NVDA,0.531534,Bullish,Earnings,0.310843,145.87994384765625
20241120,NVDA,0.432644,Bullish,Technology,0.5,145.87994384765625
20241204,NVDA,0.22831,Somewhat-Bullish,Retail & Wholesale,0.5,145.1300048828125
20241129,NVDA,0.378346,Bullish,Financial Markets,0.108179,138.240478515625
20241126,NVDA,0.377672,Bullish,Manufacturing,1.0,136.9105682373047
20241203,NVDA,0.368852,Bullish,Manufacturing,1.0,140.25033569335938
20241126,NVDA,0.37954,Bullish,Manufacturing,1.0,136.9105682373047
20241205,NVDA,0.315532,Somewhat-Bullish,Technology,0.5,145.05999755859375
20241206,NVDA,0.291292,Somewhat-Bullish,IPO,0.310843,142.44000244140625
20241121,NVDA,0.33633,Somewhat-Bullish,Earnings,0.158519,146.65989685058594
20241119,NVDA,0.600328,Bullish,Financial Markets,0.161647,146.99986267089844
20241206,NVDA,0.202967,Somewhat-Bullish,Financial Markets,0.858979,142.44000244140625
20241121,NVDA,0.317594,Somewhat-Bullish,Financial Markets,0.214378,146.65989685058594
20241125,NVDA,0.395776,Bullish,Earnings,0.928769,136.01063537597656
20241202,NVDA,0.300835,Somewhat-Bullish,Earnings,0.980716,138.62045288085938
20241129,NVDA,0.568968,Bullish,Financial Markets,1.0,138.240478515625
20241206,NVDA,0.293396,Somewhat-Bullish,Retail & Wholesale,0.333333,142.44000244140625
20241126,NVDA,0.322137,Somewhat-Bullish,Financial Markets,0.929393,136.9105682373047
20241126,NVDA,0.651951,Bullish,Earnings,0.158519,136.9105682373047
20241205,NVDA,0.473338,Bullish,Financial Markets,0.495866,145.05999755859375
20241124,NVDA,0.535165,Bullish,Financial Markets,0.161647,140.25033569335938
20241203,NVDA,0.441218,Bullish,Financial Markets,0.161647,140.25033569335938
20241203,NVDA,0.269467,Somewhat-Bullish,Technology,0.5,140.25033569335938
20241121,NVDA,0.509796,Bullish,Financial Markets,0.999612,146.65989685058594
20241126,NVDA,0.448075,Bullish,Financial Markets,0.929393,136.9105682373047
20241121,NVDA,0.432171,Bullish,Financial Markets,0.316726,146.65989685058594
20241121,NVDA,-0.024009,Neutral,Earnings,0.744043,146.65989685058594
20241120,NVDA,0.17288,Somewhat-Bullish,Earnings,0.99999,145.87994384765625
20241120,NVDA,0.291801,Somewhat-Bullish,Earnings,0.999974,145.87994384765625
20241201,NVDA,0.536667,Bullish,Earnings,0.999606,145.87994384765625
20241120,NVDA,0.279442,Somewhat-Bullish,Financial Markets,0.161647,145.87994384765625
20241125,NVDA,0.224413,Somewhat-Bullish,Earnings,0.310843,136.01063537597656
20241122,NVDA,0.298806,Somewhat-Bullish,Earnings,0.158519,141.94021606445312
20241121,NVDA,0.346949,Somewhat-Bullish,Financial Markets,0.980922,146.65989685058594
20241120,NVDA,0.331173,Somewhat-Bullish,Earnings,0.714479,145.87994384765625
20241207,NVDA,0.247991,Somewhat-Bullish,Financial Markets,0.87644,140.25033569335938
20241203,NVDA,0.339132,Somewhat-Bullish,Financial Markets,0.266143,140.25033569335938
20241123,NVDA,0.208004,Somewhat-Bullish,Financial Markets,0.360215,142.44000244140625
20241206,NVDA,0.333654,Somewhat-Bullish,Earnings,0.310843,142.44000244140625
20241205,NVDA,0.469896,Bullish,Financial Markets,0.310843,145.05999755859375
20241129,NVDA,0.402434,Bullish,Retail & Wholesale,0.25,138.240478515625
