Ticker,Sentiment Score,Sentiment Label,Published Date,Topic,Relevance Score
NVDA,0.374189,Bullish,20241121T220000,Manufacturing,1.0
NVDA,0.359036,Bullish,20241121T220000,Manufacturing,1.0
NVDA,0.32082,Somewhat-Bullish,20241122T153000,Earnings,0.158519
NVDA,0.568302,Bullish,20241202T163402,Financial Markets,0.108179
NVDA,0.433693,Bullish,20241120T100000,Manufacturing,1.0
NVDA,0.641634,Bullish,20241202T163431,Manufacturing,1.0
NVDA,0.584755,Bullish,20241121T165912,Manufacturing,1.0
NVDA,0.531534,Bullish,20241120T141145,Earnings,0.310843
NVDA,0.432644,Bullish,20241120T165920,Technology,0.5
NVDA,0.22831,Somewhat-Bullish,20241204T151403,Retail & Wholesale,0.5
NVDA,0.378346,Bullish,20241129T154131,Financial Markets,0.108179
NVDA,0.377672,Bullish,20241126T171014,Manufacturing,1.0
NVDA,0.368852,Bullish,20241203T160659,Manufacturing,1.0
NVDA,0.37954,Bullish,20241126T093100,Manufacturing,1.0
NVDA,0.315532,Somewhat-Bullish,20241205T161814,Technology,0.5
NVDA,0.291292,Somewhat-Bullish,20241206T091200,IPO,0.310843
NVDA,0.33633,Somewhat-Bullish,20241121T144743,Earnings,0.158519
NVDA,0.600328,Bullish,20241119T210400,Financial Markets,0.161647
NVDA,0.202967,Somewhat-Bullish,20241206T120808,Financial Markets,0.858979
NVDA,0.317594,Somewhat-Bullish,20241121T220642,Financial Markets,0.214378
NVDA,0.395776,Bullish,20241125T144500,Earnings,0.928769
NVDA,0.300835,Somewhat-Bullish,20241202T094500,Earnings,0.980716
NVDA,0.568968,Bullish,20241129T230500,Financial Markets,1.0
NVDA,0.293396,Somewhat-Bullish,20241206T113000,Retail & Wholesale,0.333333
NVDA,0.322137,Somewhat-Bullish,20241126T150000,Financial Markets,0.929393
NVDA,0.651951,Bullish,20241126T093400,Earnings,0.158519
NVDA,0.473338,Bullish,20241205T173558,Financial Markets,0.495866
NVDA,0.535165,Bullish,20241124T104000,Financial Markets,0.161647
NVDA,0.441218,Bullish,20241203T144012,Financial Markets,0.161647
NVDA,0.269467,Somewhat-Bullish,20241203T164156,Technology,0.5
NVDA,0.509796,Bullish,20241121T192951,Financial Markets,0.999612
NVDA,0.448075,Bullish,20241126T090200,Financial Markets,0.929393
NVDA,0.432171,Bullish,20241121T173143,Financial Markets,0.316726
NVDA,-0.024009,Neutral,20241121T021129,Earnings,0.744043
NVDA,0.17288,Somewhat-Bullish,20241120T214251,Earnings,0.99999
NVDA,0.291801,Somewhat-Bullish,20241120T225946,Earnings,0.999974
NVDA,0.536667,Bullish,20241201T101000,Earnings,0.999606
NVDA,0.279442,Somewhat-Bullish,20241120T143000,Financial Markets,0.161647
NVDA,0.224413,Somewhat-Bullish,20241125T105621,Earnings,0.310843
NVDA,0.298806,Somewhat-Bullish,20241122T174550,Earnings,0.158519
NVDA,0.346949,Somewhat-Bullish,20241121T094700,Financial Markets,0.980922
NVDA,0.331173,Somewhat-Bullish,20241120T170001,Earnings,0.714479
NVDA,0.247991,Somewhat-Bullish,20241207T210500,Financial Markets,0.87644
NVDA,0.339132,Somewhat-Bullish,20241203T105500,Financial Markets,0.266143
NVDA,0.208004,Somewhat-Bullish,20241123T083500,Financial Markets,0.360215
NVDA,0.333654,Somewhat-Bullish,20241206T150126,Earnings,0.310843
NVDA,0.469896,Bullish,20241205T173500,Financial Markets,0.310843
NVDA,0.402434,Bullish,20241129T131000,Retail & Wholesale,0.25
NVDA,0.402236,Bullish,20241127T230300,Financial Markets,0.214378
NVDA,0.318157,Somewhat-Bullish,20241127T124500,Technology,0.5
NVDA,0.421097,Bullish,20241125T090500,Financial Markets,0.996023
NVDA,0.201721,Somewhat-Bullish,20241121T051911,Earnings,0.650727
NVDA,0.239417,Somewhat-Bullish,20241204T111100,IPO,0.576289
NVDA,0.390769,Bullish,20241203T151100,Retail & Wholesale,0.5
NVDA,0.503394,Bullish,20241129T111000,Earnings,0.995015
NVDA,0.455457,Bullish,20241127T120019,Financial Markets,0.214378
NVDA,0.127834,Neutral,20241119T211033,Earnings,0.495866
NVDA,0.313879,Somewhat-Bullish,20241202T161100,Retail & Wholesale,0.5
NVDA,0.418499,Bullish,20241130T085500,Financial Markets,0.87644
NVDA,0.387917,Bullish,20241204T125100,Earnings,0.999999
NVDA,0.27746,Somewhat-Bullish,20241202T101500,Retail & Wholesale,0.25
NVDA,0.552996,Bullish,20241120T150800,Financial Markets,0.108179
NVDA,0.237945,Somewhat-Bullish,20241128T091034,Financial Markets,0.161647
NVDA,0.3812,Bullish,20241202T230000,Financial Markets,0.962106
NVDA,0.445049,Bullish,20241202T074641,IPO,0.158519
