Ticker,Sentiment Score,Sentiment Label,Published Date,Topic,Relevance Score
TSLA,0.793386,Bullish,20241129T123000,Financial Markets,0.214378
TSLA,0.598081,Bullish,20241116T133000,Manufacturing,1.0
TSLA,0.429409,Bullish,20241127T154340,Manufacturing,1.0
TSLA,0.41426,Bullish,20241127T154347,Manufacturing,1.0
TSLA,0.190976,Somewhat-Bullish,20241204T130016,Financial Markets,0.161647
TSLA,0.263151,Somewhat-Bullish,20241204T181524,Technology,0.5
TSLA,0.59023,Bullish,20241121T145200,Financial Markets,0.266143
TSLA,0.200004,Somewhat-Bullish,20241119T122007,Financial Markets,0.214378
TSLA,0.047364,Neutral,20241115T160148,Manufacturing,1.0
TSLA,-0.113443,Neutral,20241119T092343,Financial Markets,0.999186
TSLA,0.137015,Neutral,20241205T081237,Financial Markets,0.99977
TSLA,0.302822,Somewhat-Bullish,20241202T164516,Financial Markets,0.108179
TSLA,0.310311,Somewhat-Bullish,20241126T100000,Financial Markets,0.108179
TSLA,0.302822,Somewhat-Bullish,20241118T155839,Financial Markets,0.108179
TSLA,0.284619,Somewhat-Bullish,20241122T192958,Financial Markets,0.108179
TSLA,0.328989,Somewhat-Bullish,20241113T230128,Financial Markets,0.503496
TSLA,0.269667,Somewhat-Bullish,20241204T115710,Economy - Fiscal,0.158519
TSLA,0.167916,Somewhat-Bullish,20241125T213431,Financial Markets,0.108179
TSLA,0.261783,Somewhat-Bullish,20241125T061710,Financial Markets,0.161647
TSLA,-0.17826,Somewhat-Bearish,20241125T133700,Earnings,0.650727
TSLA,0.278474,Somewhat-Bullish,20241114T205445,Financial Markets,0.108179
TSLA,-0.202661,Somewhat-Bearish,20241125T054208,Financial Markets,0.990999
TSLA,0.462603,Bullish,20241118T100900,IPO,0.310843
TSLA,0.608401,Bullish,20241205T211150,Finance,0.5
TSLA,-0.559675,Bearish,20241127T152125,Manufacturing,1.0
TSLA,0.343513,Somewhat-Bullish,20241114T212816,Real Estate & Construction,0.5
TSLA,0.057139,Neutral,20241204T161502,Finance,0.5
TSLA,-0.548837,Bearish,20241119T110000,Manufacturing,1.0
