Date,Ticker,Sentiment Score,Sentiment Label,Topic,Relevance Score,Stock Price
20241129,TSLA,0.793386,Bullish,Financial Markets,0.214378,345.1600036621094
20241116,TSLA,0.598081,Bullish,Manufacturing,1.0,332.8900146484375
20241127,TSLA,0.429409,Bullish,Manufacturing,1.0,332.8900146484375
20241127,TSLA,0.41426,Bullish,Manufacturing,1.0,332.8900146484375
20241204,TSLA,0.190976,Somewhat-Bullish,Financial Markets,0.161647,357.92999267578125
20241204,TSLA,0.263151,Somewhat-Bullish,Technology,0.5,357.92999267578125
20241121,TSLA,0.59023,Bullish,Financial Markets,0.266143,339.6400146484375
20241119,TSLA,0.200004,Somewhat-Bullish,Financial Markets,0.214378,346.0
20241115,TSLA,0.047364,Neutral,Manufacturing,1.0,320.7200012207031
20241119,TSLA,-0.113443,Neutral,Financial Markets,0.999186,346.0
20241205,TSLA,0.137015,Neutral,Financial Markets,0.99977,369.489990234375
20241202,TSLA,0.302822,Somewhat-Bullish,Financial Markets,0.108179,357.0899963378906
20241126,TSLA,0.310311,Somewhat-Bullish,Financial Markets,0.108179,338.2300109863281
20241118,TSLA,0.302822,Somewhat-Bullish,Financial Markets,0.108179,338.739990234375
20241122,TSLA,0.284619,Somewhat-Bullish,Financial Markets,0.108179,352.5599975585937
20241113,TSLA,0.328989,Somewhat-Bullish,Financial Markets,0.503496,330.239990234375
20241204,TSLA,0.269667,Somewhat-Bullish,Economy - Fiscal,0.158519,357.92999267578125
20241125,TSLA,0.167916,Somewhat-Bullish,Financial Markets,0.108179,338.5899963378906
20241125,TSLA,0.261783,Somewhat-Bullish,Financial Markets,0.161647,338.5899963378906
20241125,TSLA,-0.17826,Somewhat-Bearish,Earnings,0.650727,338.5899963378906
20241114,TSLA,0.278474,Somewhat-Bullish,Financial Markets,0.108179,311.17999267578125
20241125,TSLA,-0.202661,Somewhat-Bearish,Financial Markets,0.990999,338.5899963378906
20241118,TSLA,0.462603,Bullish,IPO,0.310843,338.739990234375
20241205,TSLA,0.608401,Bullish,Finance,0.5,369.489990234375
20241127,TSLA,-0.559675,Bearish,Manufacturing,1.0,332.8900146484375
20241114,TSLA,0.343513,Somewhat-Bullish,Real Estate & Construction,0.5,311.17999267578125
20241204,TSLA,0.057139,Neutral,Finance,0.5,357.92999267578125
20241119,TSLA,-0.548837,Bearish,Manufacturing,1.0,346.0
20241121,TSLA,-0.188852,Somewhat-Bearish,Financial Markets,0.214378,339.6400146484375
20241118,TSLA,0.036064,Neutral,Manufacturing,1.0,338.739990234375
20241114,TSLA,0.413878,Bullish,Financial Markets,0.723405,311.17999267578125
20241118,TSLA,0.617771,Bullish,Financial Markets,0.266143,338.739990234375
20241129,TSLA,0.310465,Somewhat-Bullish,Earnings,0.310843,345.1600036621094
20241203,TSLA,0.55252,Bullish,Financial Markets,0.266143,351.4200134277344
20241115,TSLA,0.305485,Somewhat-Bullish,Financial Markets,0.161647,320.7200012207031
20241125,TSLA,-0.136551,Neutral,Financial Markets,0.108179,338.5899963378906
20241128,TSLA,0.288319,Somewhat-Bullish,Economy - Monetary,0.158519,338.739990234375
20241118,TSLA,0.295871,Somewhat-Bullish,Financial Markets,0.108179,338.739990234375
20241203,TSLA,0.534801,Bullish,Earnings,0.495866,351.4200134277344
20241115,TSLA,0.396582,Bullish,Financial Markets,0.316726,320.7200012207031
20241115,TSLA,0.565654,Bullish,Financial Markets,0.858979,320.7200012207031
20241126,TSLA,-0.19643,Somewhat-Bearish,Financial Markets,0.161647,338.2300109863281
20241118,TSLA,0.012124,Neutral,Financial Markets,0.692272,338.739990234375
20241115,TSLA,0.036577,Neutral,Economy - Monetary,0.158519,320.7200012207031
20241119,TSLA,0.29474,Somewhat-Bullish,Earnings,0.158519,346.0
20241205,TSLA,-0.176606,Somewhat-Bearish,Manufacturing,1.0,369.489990234375
20241120,TSLA,0.58018,Bullish,Financial Markets,0.161647,342.0299987792969
20241202,TSLA,0.37811,Bullish,Earnings,0.158519,357.0899963378906
20241115,TSLA,0.562421,Bullish,Earnings,0.108179,320.7200012207031
20241115,TSLA,0.4343,Bullish,Earnings,0.158519,320.7200012207031
20241120,TSLA,0.223799,Somewhat-Bullish,Earnings,0.158519,342.0299987792969
20241122,TSLA,0.358199,Bullish,Earnings,0.158519,352.5599975585937
20241202,TSLA,-0.081663,Neutral,Manufacturing,1.0,357.0899963378906
20241203,TSLA,0.381793,Bullish,Financial Markets,0.266143,351.4200134277344
20241203,TSLA,0.560108,Bullish,Technology,0.5,351.4200134277344
20241207,TSLA,0.278096,Somewhat-Bullish,Earnings,0.967645,338.739990234375
20241117,TSLA,0.272697,Somewhat-Bullish,Life Sciences,0.25,338.739990234375
20241130,TSLA,0.074487,Neutral,Financial Markets,0.413559,338.739990234375
20241118,TSLA,0.156949,Somewhat-Bullish,Manufacturing,1.0,338.739990234375
20241126,TSLA,0.368639,Bullish,Earnings,0.875462,338.2300109863281
20241113,TSLA,0.632441,Bullish,Economy - Fiscal,0.158519,330.239990234375
20241119,TSLA,0.254865,Somewhat-Bullish,Earnings,0.158519,346.0
20241115,TSLA,-0.121447,Neutral,Earnings,0.714479,320.7200012207031
20241113,TSLA,-0.315283,Somewhat-Bearish,Manufacturing,1.0,330.239990234375
20241207,TSLA,-0.356697,Bearish,Manufacturing,1.0,352.5599975585937
20241122,TSLA,0.221323,Somewhat-Bullish,Financial Markets,0.990999,352.5599975585937
20241201,TSLA,0.354783,Bullish,Earnings,0.77141,357.0899963378906
20241202,TSLA,0.294341,Somewhat-Bullish,Earnings,0.495866,357.0899963378906
20241118,TSLA,0.484082,Bullish,Financial Markets,0.214378,338.739990234375
20241127,TSLA,0.428682,Bullish,Earnings,0.158519,332.8900146484375
20241113,TSLA,0.477013,Bullish,Manufacturing,1.0,330.239990234375
20241119,TSLA,0.582525,Bullish,Life Sciences,0.25,346.0
20241115,TSLA,0.160324,Somewhat-Bullish,Manufacturing,1.0,320.7200012207031
20241130,TSLA,0.299551,Somewhat-Bullish,Earnings,0.310843,357.92999267578125
20241204,TSLA,0.117686,Neutral,Financial Markets,0.161647,357.92999267578125
20241202,TSLA,0.467691,Bullish,Financial Markets,0.214378,357.0899963378906
20241121,TSLA,0.329548,Somewhat-Bullish,Financial Markets,0.980922,339.6400146484375
20241112,TSLA,0.156124,Somewhat-Bullish,Financial Markets,0.266143,328.489990234375
20241203,TSLA,-0.079148,Neutral,Financial Markets,0.108179,351.4200134277344
20241127,TSLA,0.137545,Neutral,Technology,0.5,332.8900146484375
20241129,TSLA,0.344515,Somewhat-Bullish,Financial Markets,0.161647,345.1600036621094
